group,role,count,tobj_mean,tobj_std,tobj_min,tobj_p25,tobj_p50,tobj_p75,tobj_p90,tobj_max,tunk_mean,tunk_std,tunk_min,tunk_p25,tunk_p50,tunk_p75,tunk_p90,tunk_max,max_known_iou_mean,max_known_iou_std,max_known_iou_min,max_known_iou_p25,max_known_iou_p50,max_known_iou_p75,max_known_iou_p90,max_known_iou_max,best_full_iou_mean,best_full_iou_std,best_full_iou_min,best_full_iou_p25,best_full_iou_p50,best_full_iou_p75,best_full_iou_p90,best_full_iou_max,best_target_iou_mean,best_target_iou_std,best_target_iou_min,best_target_iou_p25,best_target_iou_p50,best_target_iou_p75,best_target_iou_p90,best_target_iou_max,max_known_score_mean,max_known_score_std,max_known_score_min,max_known_score_p25,max_known_score_p50,max_known_score_p75,max_known_score_p90,max_known_score_max,tunk_minus_tobj_mean,tunk_minus_tobj_std,tunk_minus_tobj_min,tunk_minus_tobj_p25,tunk_minus_tobj_p50,tunk_minus_tobj_p75,tunk_minus_tobj_p90,tunk_minus_tobj_max,tunk_over_tobj_mean,tunk_over_tobj_std,tunk_over_tobj_min,tunk_over_tobj_p25,tunk_over_tobj_p50,tunk_over_tobj_p75,tunk_over_tobj_p90,tunk_over_tobj_max
__BACKGROUND__,background,2420568,0.03734992686764297,0.05899748805171296,0.01000000350177288,0.013127997517585754,0.019135452806949615,0.035223446786403656,0.07330881953239449,0.9436383247375488,0.023592929216830538,0.050379695238083465,3.7667723518097773e-06,0.0036430471227504313,0.00792593602091074,0.02005785098299384,0.05388933159410967,0.9368292689323425,0.04942247458618509,0.10518740845167848,0.0,0.0,0.0,0.038301960565149784,0.185564786195755,0.4999903440475464,0.05953453584025433,0.11305185790854816,0.0,0.0,0.0005907352606300265,0.056299236603081226,0.22951640337705656,0.5128951072692871,0.01326607278581309,0.05557959325175634,0.0,0.0,0.0,0.0,0.016744049079716217,0.4999981224536896,0.019396169474990375,0.06971240354403638,1.3654148034447644e-08,4.8361784138251096e-05,0.00038706662598997355,0.00482269749045372,0.0424184687435627,0.991319477558136,-0.013756997651614039,0.03010150660492428,-0.8636444807052612,-0.015419939300045371,-0.009999615140259266,-0.006627741502597928,-0.002014368958771217,0.521228015422821,0.4874256071743948,0.3425287265539218,0.0002041089319391176,0.2310774028301239,0.4294520169496536,0.6693574041128159,0.9306471526622776,5.297857284545898
animal,unknown,2290,0.18969012619561504,0.23478889697279984,0.01000200118869543,0.021400919184088707,0.06440254673361778,0.2912435680627823,0.5778839170932768,0.9661933779716492,0.10028740404396522,0.1640411543068905,0.000242620226345025,0.00390264845918864,0.01736013125628233,0.1272113099694252,0.32350693047046647,0.9340736269950867,0.014945377378854657,0.05839620580593452,0.0,0.0,0.0,0.0,0.01602738089859481,0.4774107038974762,0.7347591278594654,0.13001713708301166,0.5000384449958801,0.622052863240242,0.7387199401855469,0.8463892340660095,0.9088887453079223,0.9938110709190369,0.7347591278594654,0.13001713708301166,0.5000384449958801,0.622052863240242,0.7387199401855469,0.8463892340660095,0.9088887453079223,0.9938110709190369,0.028258959064904617,0.07754463052839565,3.5658838442031993e-06,0.0007042347715469077,0.0028506640810519457,0.01476957811973989,0.07488956451416011,0.946074903011322,-0.08940272223057966,0.1267688785170611,-0.7631551027297974,-0.11874648928642273,-0.03608868271112442,-0.014782320242375135,-0.009847669675946236,0.17711389064788818,0.35938758799342607,0.2546461507787359,0.020762436091899872,0.161050695925951,0.2863827049732208,0.5004916042089462,0.7504751920700073,1.4447628259658813
bus,novel,31364,0.3077815694323133,0.27960171509575055,0.010000277310609818,0.03649665042757988,0.2197311520576477,0.5589358657598495,0.7289460301399231,0.9463853240013123,0.2754226703073124,0.277654123038659,6.501495954580605e-05,0.016442492604255676,0.16570474207401276,0.5109827965497971,0.7016793489456177,0.9575217962265015,0.08170855027372691,0.09974462130877312,0.0,0.0,0.038373734802007675,0.13757747039198875,0.23006552457809448,0.49912533164024353,0.8339451674546321,0.14184433588038284,0.5000395178794861,0.73764967918396,0.8842601776123047,0.9506542682647705,0.9779514253139496,0.9994605183601379,0.8339451674546321,0.14184433588038284,0.5000395178794861,0.73764967918396,0.8842601776123047,0.9506542682647705,0.9779514253139496,0.9994605183601379,0.034615769566413185,0.08317253700174083,2.7426546012065955e-07,0.0008278550812974572,0.004261680645868182,0.02725411858409643,0.09543982893228531,0.984284520149231,-0.032358899103390175,0.09375761601270109,-0.7810280919075012,-0.05921854078769684,-0.015283160377293825,0.0033660084009170532,0.06426277756690979,0.3168855309486389,0.7311330231523291,0.3773059282978564,0.004162273835390806,0.42309653759002686,0.7596018016338348,1.0136686563491821,1.1736119985580444,2.782313823699951
concrete_mixer,unknown,135,0.17186247204188948,0.18961224927094328,0.010112925432622433,0.02609339077025652,0.08827657997608185,0.24415982514619827,0.4729607820510865,0.819818377494812,0.12076735892160623,0.1586584149196394,0.001071506179869175,0.009053990244865417,0.05296182259917259,0.1713264137506485,0.3526429772377015,0.7137894630432129,0.054484315501112074,0.07448127083973606,0.0,0.0,0.01786004938185215,0.09344932436943054,0.16325723230838776,0.3968653976917267,0.7496075042971858,0.1523048320573594,0.5032913088798523,0.6121627986431122,0.7525392174720764,0.8808519542217255,0.9461738228797912,0.9841074347496033,0.7496075042971858,0.1523048320573594,0.5032913088798523,0.6121627986431122,0.7525392174720764,0.8808519542217255,0.9461738228797912,0.9841074347496033,0.010340706769919187,0.022917446312703975,3.2965221180347726e-05,0.0005538020341191441,0.002936560893431306,0.00815419340506196,0.02693912051618103,0.17602235078811646,-0.051095113234111554,0.08133543755070459,-0.3740248382091522,-0.07801609486341476,-0.022669432684779167,-0.008183430414646864,0.021062481403350906,0.0791797935962677,0.5735474143315245,0.3298648647451335,0.08449221402406693,0.2830105870962143,0.5164213180541992,0.8070228099822998,1.0963518381118775,1.3390088081359863
crane_truck,novel,213,0.10418386088395623,0.13208727415038146,0.010278352536261082,0.020972855389118195,0.0391172356903553,0.13092495501041412,0.2855652093887329,0.7360379099845886,0.09084213056389523,0.12245588430408393,0.0011449296725913882,0.014319082722067833,0.03186571225523949,0.11462397873401642,0.3073691725730896,0.6055842638015747,0.04186279566872738,0.06536918711707293,0.0,0.0,0.012757791206240654,0.06654130667448044,0.1242806687951088,0.3617572486400604,0.7715543057996902,0.1458121933593185,0.5007504820823669,0.644015371799469,0.7929059863090515,0.9046282768249512,0.9532531142234802,0.9930676817893982,0.7715543057996902,0.1458121933593185,0.5007504820823669,0.644015371799469,0.7929059863090515,0.9046282768249512,0.9532531142234802,0.9930676817893982,0.004070957179840793,0.013237542702406924,5.1679521675396245e-06,0.00017605166067369282,0.0005561063881032169,0.0020361547358334064,0.010354986041784298,0.14823421835899353,-0.013341730314048943,0.050531001868289335,-0.26956233382225037,-0.019229983910918236,-0.0076369717717170715,0.001574179157614708,0.03039669394493107,0.135936439037323,0.7793165239299966,0.35642564823822587,0.08993242681026459,0.5014895796775818,0.7257721424102783,1.058293342590332,1.2687132596969604,1.6580595970153809
excavator,novel,274,0.18245994934581056,0.18411928957159035,0.010089924558997154,0.027598394080996513,0.11002066358923912,0.3096080794930458,0.46785513162612924,0.7615249752998352,0.10481049048027745,0.13348626269989702,0.00047148799058049917,0.013017273973673582,0.052513137459754944,0.13751906529068947,0.27256178855895996,0.7098503112792969,0.045665023499168456,0.07077062983112624,0.0,0.0,0.0,0.07587381824851036,0.15646635591983804,0.35429635643959045,0.762001701080016,0.14680913392943212,0.502399742603302,0.6349077820777893,0.784197211265564,0.8953366875648499,0.9430098176002503,0.9927234053611755,0.762001701080016,0.14680913392943212,0.502399742603302,0.6349077820777893,0.784197211265564,0.8953366875648499,0.9430098176002503,0.9927234053611755,0.024946690242644644,0.0463455013747399,2.00757658603834e-05,0.0010093602177221328,0.004684306913986802,0.024372773244976997,0.07904175221920016,0.29125580191612244,-0.07764945834208906,0.1030651113252939,-0.5145139694213867,-0.1112833060324192,-0.03320836275815964,-0.010372900404036045,-0.0054339938797056675,0.1343129575252533,0.5357321721236528,0.295971533627023,0.028627043589949608,0.3007930517196655,0.5024343729019165,0.7027040123939514,0.9131327807903294,1.525939702987671
pole,unknown,2676,0.2037227864033349,0.20879344070655634,0.01000991277396679,0.024921747855842113,0.11044692993164062,0.362325057387352,0.5494169294834137,0.8577123880386353,0.15277340024383337,0.16828172776793748,0.00031120568746700883,0.011825339868664742,0.07055562362074852,0.27890390157699585,0.41572946310043335,0.7332017421722412,0.019623590777073888,0.042791868137157865,0.0,0.0,0.0,0.023241042159497738,0.0586747694760561,0.4640885293483734,0.66067235325484,0.10302672204670964,0.5000755190849304,0.5836182832717896,0.6486805975437164,0.7140325009822845,0.8064859509468079,0.9836234450340271,0.66067235325484,0.10302672204670964,0.5000755190849304,0.5836182832717896,0.6486805975437164,0.7140325009822845,0.8064859509468079,0.9836234450340271,0.005359184684378171,0.04049594634224321,2.3701009013166185e-06,0.00012297370631131344,0.00042266931268386543,0.002191926701925695,0.00760552566498518,0.8036838173866272,-0.050949386167005874,0.06204863967414624,-0.4289838373661041,-0.0869217999279499,-0.024724405258893967,-0.009658773895353079,-0.004601184744387865,0.18250060081481934,0.6287697012597481,0.258240627536957,0.01932312361896038,0.44421737641096115,0.6444224417209625,0.777460902929306,0.9387606680393219,1.7760779857635498
pull_cart,unknown,107,0.14818160664986504,0.15790947117222928,0.010065711103379726,0.03805356100201607,0.08991685509681702,0.18516061455011368,0.35366311669349687,0.7679736018180847,0.0475641016896801,0.06396544387381453,0.00027046134346164763,0.007600728189572692,0.01910588890314102,0.05738924629986286,0.13266334384679815,0.3209177255630493,0.17131126491721746,0.13557897970260874,0.0,0.052135394886136055,0.15173117816448212,0.2685505151748657,0.3733967363834381,0.46681609749794006,0.7524733816351846,0.14454908773864508,0.5007795095443726,0.6197660565376282,0.7273107767105103,0.8894677460193634,0.9489572167396545,0.9914525151252747,0.7524733816351846,0.14454908773864508,0.5007795095443726,0.6197660565376282,0.7273107767105103,0.8894677460193634,0.9489572167396545,0.9914525151252747,0.04226477769992008,0.08196130258403204,6.3688239606563e-06,0.0027697687037289143,0.010486924089491367,0.04396590404212475,0.1103029787540436,0.5594717264175415,-0.10061750539239044,0.11725526104836957,-0.6087219715118408,-0.12394125014543533,-0.05304837226867676,-0.024392331019043922,-0.010737945325672625,0.06894643604755402,0.2961999947535936,0.23957957734312374,0.026869570836424828,0.16825972497463226,0.22348269820213318,0.35415901243686676,0.46952949166297914,1.4154971837997437
road_roller,unknown,81,0.20282272052847677,0.18930153035243522,0.010010848753154278,0.03184765204787254,0.1358102709054947,0.3225153386592865,0.4926741421222687,0.6872111558914185,0.11249044790280477,0.12152269529777988,0.0007175366044975817,0.00866925809532404,0.08604085445404053,0.17789217829704285,0.27889692783355713,0.5391294360160828,0.08155285262209536,0.1339791515961872,0.0,0.0,0.020813466981053352,0.07763142138719559,0.25477954745292664,0.4860886335372925,0.7695852437137086,0.16361013984816708,0.500690758228302,0.6050211787223816,0.833863377571106,0.9163980484008789,0.9626301527023315,0.9952390789985657,0.7695852437137086,0.16361013984816708,0.500690758228302,0.6050211787223816,0.833863377571106,0.9163980484008789,0.9626301527023315,0.9952390789985657,0.03158625878411301,0.05185450404262711,4.3216846279392485e-06,0.0011874117190018296,0.006352427415549755,0.03585342317819595,0.09727175533771515,0.25920015573501587,-0.09033227272699644,0.10774161196613226,-0.4268268048763275,-0.14260195195674896,-0.049226269125938416,-0.010903256013989449,-0.007629746105521917,0.13014322519302368,0.49253302692999074,0.26367412266488083,0.07167590409517288,0.2775801420211792,0.48860153555870056,0.5809381604194641,0.8345165848731995,1.4124319553375244
street_cart,novel,1801,0.1313395423283061,0.15676913622422875,0.010000173933804035,0.02493162825703621,0.06155673414468765,0.18230777978897095,0.37199196219444275,0.840217649936676,0.04624199577227491,0.0676449292156743,0.0001724010071484372,0.004566220100969076,0.01579412817955017,0.06097414344549179,0.1399168223142624,0.6304067969322205,0.12443999068381588,0.12846314364025446,0.0,0.0,0.08750395476818085,0.21019688248634338,0.32566285133361816,0.4948253035545349,0.7470946048181101,0.1464016827368748,0.5001060962677002,0.6118643879890442,0.7516409754753113,0.8817655444145203,0.9394100308418274,0.9918090105056763,0.7470946048181101,0.1464016827368748,0.5001060962677002,0.6118643879890442,0.7516409754753113,0.8817655444145203,0.9394100308418274,0.9918090105056763,0.06688272998048474,0.12468804776629715,2.9040481877018465e-06,0.0033032698556780815,0.014450376853346825,0.06751726567745209,0.20293745398521423,0.8729392290115356,-0.0850975465912192,0.1089512750185756,-0.6805840134620667,-0.10698049515485764,-0.03780864179134369,-0.016859810799360275,-0.010296453721821308,0.13787230849266052,0.303867084288588,0.20728606161418384,0.01499022077769041,0.15182724595069885,0.2501823604106903,0.40830329060554504,0.5910905003547668,1.4041974544525146
