tobj_threshold,group,role,count,class_retention_pct,share_at_threshold_pct
0.01,__BACKGROUND__,background,2420568,100.0,95.98656186230508
0.01,animal,unknown,2290,100.0,0.09080894511729423
0.01,bus,novel,31364,100.0,1.2437256570562516
0.01,concrete_mixer,unknown,135,100.0,0.005353365760189834
0.01,crane_truck,novel,213,100.0,0.008446421532743961
0.01,excavator,novel,274,100.0,0.010865349765126035
0.01,pole,unknown,2676,100.0,0.10611560573531849
0.01,pull_cart,unknown,107,100.0,0.0042430380469652765
0.01,road_roller,unknown,81,100.0,0.0032120194561139005
0.01,street_cart,novel,1801,100.0,0.07141786469705105
0.01,tanker_vehicle,novel,521,100.0,0.020660026378214104
0.01,tractor,unknown,692,100.0,0.027440956341121224
0.01,truck,novel,61056,100.0,2.4211488878085223
0.02,__BACKGROUND__,background,1152677,47.620104041695996,93.32706660383744
0.02,animal,unknown,1756,76.68122270742359,0.14217541336934678
0.02,bus,novel,26624,84.88713174340008,2.155625401791281
0.02,concrete_mixer,unknown,109,80.74074074074075,0.00882523921256196
0.02,crane_truck,novel,168,78.87323943661971,0.01360220355697623
0.02,excavator,novel,231,84.30656934306569,0.018703029890842316
0.02,pole,unknown,2146,80.19431988041853,0.17375195734089874
0.02,pull_cart,unknown,91,85.04672897196261,0.007367860260028791
0.02,road_roller,unknown,62,76.5432098765432,0.0050198608365031325
0.02,street_cart,novel,1446,80.28872848417545,0.11707610918683113
0.02,tanker_vehicle,novel,456,87.5239923224568,0.03692026679750691
0.02,tractor,unknown,578,83.52601156069365,0.04679805747578727
0.02,truck,novel,48750,79.84473270440252,3.9470679964439954
0.03,__BACKGROUND__,background,729939,30.155690730440128,90.82537300618534
0.03,animal,unknown,1528,66.72489082969433,0.1901270790483194
0.03,bus,novel,24471,78.02257365131999,3.0448951252561676
0.03,concrete_mixer,unknown,96,71.11111111111111,0.011945156798847292
0.03,crane_truck,novel,132,61.97183098591549,0.016424590598415025
0.03,excavator,novel,201,73.35766423357664,0.02501017204758652
0.03,pole,unknown,1909,71.33781763826606,0.23753442009374462
0.03,pull_cart,unknown,85,79.43925233644859,0.010576440915646041
0.03,road_roller,unknown,62,76.5432098765432,0.007714580432588877
0.03,street_cart,novel,1235,68.57301499167129,0.1536694650685042
0.03,tanker_vehicle,novel,424,81.38195777351248,0.05275777586157554
0.03,tractor,unknown,529,76.44508670520231,0.06582279111031476
0.03,truck,novel,43062,70.52869496855347,5.358149396582938
0.05,__BACKGROUND__,background,396007,16.360085731943908,85.97969525513372
0.05,animal,unknown,1262,55.109170305676855,0.27400115506033673
0.05,bus,novel,22191,70.75309271776558,4.818034573648124
0.05,concrete_mixer,unknown,84,62.22222222222222,0.018237794790069956
0.05,crane_truck,novel,100,46.948356807511736,0.021711660464368992
0.05,excavator,novel,179,65.32846715328468,0.0388638722312205
0.05,pole,unknown,1693,63.266068759342296,0.3675784116617671
0.05,pull_cart,unknown,70,65.42056074766354,0.015198162325058296
0.05,road_roller,unknown,55,67.90123456790124,0.011941413255402947
0.05,street_cart,novel,990,54.96946141032759,0.214945438597253
0.05,tanker_vehicle,novel,383,73.51247600767753,0.08315565957853324
0.05,tractor,unknown,461,66.61849710982659,0.10009075474074107
0.05,truck,novel,37107,60.775353773584904,8.056545848513402
0.075,__BACKGROUND__,background,234973,9.70734967990984,80.22677765410432
0.075,animal,unknown,1091,47.64192139737991,0.37249988049958005
0.075,bus,novel,20454,65.21489605917613,6.983604542381677
0.075,concrete_mixer,unknown,74,54.81481481481482,0.0252658030769651
0.075,crane_truck,novel,76,35.68075117370892,0.025948662619585776
0.075,excavator,novel,154,56.20437956204379,0.05258018478179223
0.075,pole,unknown,1530,57.17488789237668,0.522387550104819
0.075,pull_cart,unknown,59,55.140186915887845,0.020144356507310012
0.075,road_roller,unknown,51,62.96296296296296,0.017412918336827298
0.075,street_cart,novel,803,44.58634092171016,0.27416810636220235
0.075,tanker_vehicle,novel,358,68.71401151631477,0.12223185812910142
0.075,tractor,unknown,406,58.67052023121387,0.1386204871519977
0.075,truck,novel,32857,53.81453092243187,11.218357995943814
0.1,__BACKGROUND__,background,159134,6.574242078718714,74.79331656992456
0.1,animal,unknown,979,42.75109170305677,0.4601320705943177
0.1,bus,novel,19324,61.61203928070399,9.082320870443917
0.1,concrete_mixer,unknown,64,47.40740740740741,0.030080135360609123
0.1,crane_truck,novel,64,30.046948356807512,0.030080135360609123
0.1,excavator,novel,142,51.82481751824818,0.06674030033135149
0.1,pole,unknown,1395,52.130044843049326,0.655652950438277
0.1,pull_cart,unknown,51,47.66355140186916,0.023970107865485393
0.1,road_roller,unknown,49,60.49382716049383,0.02303010363546636
0.1,street_cart,novel,675,37.47917823431427,0.31725142763142433
0.1,tanker_vehicle,novel,337,64.68330134357005,0.1583907127582074
0.1,tractor,unknown,382,55.202312138728324,0.1795408079336357
0.1,truck,novel,30169,49.412015199161424,14.179493807722135
0.15,__BACKGROUND__,background,89483,3.6967769548304363,65.44599496811188
0.15,animal,unknown,843,36.81222707423581,0.6165525715288748
0.15,bus,novel,17492,55.770947583216426,12.79328301445205
0.15,concrete_mixer,unknown,52,38.51851851851852,0.038031712597273414
0.15,crane_truck,novel,48,22.535211267605636,0.035106196243637006
0.15,excavator,novel,111,40.51094890510949,0.08118307881341057
0.15,pole,unknown,1167,43.609865470852014,0.8535193961734246
0.15,pull_cart,unknown,37,34.57943925233645,0.027061026271136858
0.15,road_roller,unknown,38,46.913580246913575,0.027792405359545958
0.15,street_cart,novel,514,28.53970016657413,0.37592885144227955
0.15,tanker_vehicle,novel,308,59.11708253358925,0.2252647592300041
0.15,tractor,unknown,325,46.96531791907515,0.23769820373295888
0.15,truck,novel,26310,43.09158805031446,19.24258381604353
0.2,__BACKGROUND__,background,57592,2.3792762690409854,57.54366332280883
0.2,animal,unknown,736,32.13973799126638,0.735382278885736
0.2,bus,novel,16153,51.50172171916847,16.139442867990887
0.2,concrete_mixer,unknown,44,32.592592592592595,0.04396307102034291
0.2,crane_truck,novel,41,19.248826291079812,0.04096558890531953
0.2,excavator,novel,101,36.86131386861314,0.10091523120578715
0.2,pole,unknown,1026,38.34080717488789,1.025138883337996
0.2,pull_cart,unknown,26,24.299065420560748,0.025978178330202634
0.2,road_roller,unknown,35,43.20987654320987,0.034970624675272774
0.2,street_cart,novel,418,23.209328151027204,0.4176491746932577
0.2,tanker_vehicle,novel,280,53.74280230326296,0.2797649974021822
0.2,tractor,unknown,290,41.90751445086705,0.2897566044522601
0.2,truck,novel,23342,38.230476939203356,23.322409176291913
0.3,__BACKGROUND__,background,28380,1.1724520856261835,44.851837218490715
0.3,animal,unknown,558,24.366812227074234,0.8818648755432635
0.3,bus,novel,14068,44.85397270756281,22.233109442907942
0.3,concrete_mixer,unknown,28,20.74074074074074,0.044251284077439744
0.3,crane_truck,novel,16,7.511737089201878,0.025286448044251286
0.3,excavator,novel,70,25.547445255474454,0.11062821019359936
0.3,pole,unknown,805,30.08221225710015,1.2722244172263928
0.3,pull_cart,unknown,16,14.953271028037381,0.025286448044251286
0.3,road_roller,unknown,27,33.33333333333333,0.04267088107467404
0.3,street_cart,novel,261,14.491948917268186,0.41248518372184906
0.3,tanker_vehicle,novel,201,38.57965451055662,0.31766100355590676
0.3,tractor,unknown,213,30.78034682080925,0.33662583958909525
0.3,truck,novel,18632,30.516247379454924,29.446068747530617
