group,role,count,tobj_mean,tobj_std,tobj_min,tobj_p25,tobj_p50,tobj_p75,tobj_p90,tobj_max,tunk_mean,tunk_std,tunk_min,tunk_p25,tunk_p50,tunk_p75,tunk_p90,tunk_max,max_known_iou_mean,max_known_iou_std,max_known_iou_min,max_known_iou_p25,max_known_iou_p50,max_known_iou_p75,max_known_iou_p90,max_known_iou_max,best_full_iou_mean,best_full_iou_std,best_full_iou_min,best_full_iou_p25,best_full_iou_p50,best_full_iou_p75,best_full_iou_p90,best_full_iou_max,best_target_iou_mean,best_target_iou_std,best_target_iou_min,best_target_iou_p25,best_target_iou_p50,best_target_iou_p75,best_target_iou_p90,best_target_iou_max,max_known_score_mean,max_known_score_std,max_known_score_min,max_known_score_p25,max_known_score_p50,max_known_score_p75,max_known_score_p90,max_known_score_max,tunk_minus_tobj_mean,tunk_minus_tobj_std,tunk_minus_tobj_min,tunk_minus_tobj_p25,tunk_minus_tobj_p50,tunk_minus_tobj_p75,tunk_minus_tobj_p90,tunk_minus_tobj_max,tunk_over_tobj_mean,tunk_over_tobj_std,tunk_over_tobj_min,tunk_over_tobj_p25,tunk_over_tobj_p50,tunk_over_tobj_p75,tunk_over_tobj_p90,tunk_over_tobj_max
__BACKGROUND__,background,1755475,0.04098902376455409,0.05303532775922793,0.010000009089708328,0.014044255018234253,0.022339195013046265,0.04428298585116863,0.08662047386169436,0.8979074358940125,0.03461753075175911,0.059636513909598454,3.9199672755785286e-05,0.006331804441288114,0.013377346098423004,0.035606272518634796,0.08444285690784457,0.9889623522758484,0.040205936316987524,0.0901307511890205,0.0,0.0,0.0,0.030737112276256084,0.13137931525707244,0.4999948740005493,0.050925299609021465,0.10034905187799534,0.0,0.0,0.0018827170133590698,0.049271391704678535,0.1731531858444214,0.5062525272369385,0.013961619483940693,0.055203994734795085,0.0,0.0,0.0,0.0,0.023139918968081506,0.4999830424785614,0.0035774998993708352,0.03189014370968638,7.976476146254186e-10,4.150268296143622e-06,2.166373815271072e-05,0.0001240805722773075,0.0009653780260123322,0.9865098595619202,-0.006371493012629615,0.020542449491922587,-0.6682791709899902,-0.011394021566957235,-0.007381695322692394,-0.0035540557000786066,0.005450313538312929,0.49144309759140015,0.6606909217882241,0.33772941764570696,0.003551278728991747,0.41751888394355774,0.6268017888069153,0.8720745742321014,1.1078777074813844,8.557069778442383
animal,unknown,35,0.12688434012234212,0.14851118614193534,0.010291050188243389,0.026527654379606247,0.05417561158537865,0.16892599314451218,0.34612389802932747,0.543919563293457,0.045836755305728206,0.08023545751825759,0.0009323689737357199,0.0049057272262871265,0.014103206805884838,0.05057830363512039,0.10590168386697772,0.3964977562427521,0.0045253314489985185,0.011586767533272762,0.0,0.0,0.0,0.0,0.018069346249103564,0.049214206635951996,0.7355982218469892,0.1233991771742669,0.5098279714584351,0.6334256529808044,0.7574347853660583,0.8305490612983704,0.8972129583358766,0.931281566619873,0.7355982218469892,0.1233991771742669,0.5098279714584351,0.6334256529808044,0.7574347853660583,0.8305490612983704,0.8972129583358766,0.931281566619873,0.005762478429872837,0.024742588490010303,1.4723140111527755e-06,5.945977318333462e-05,0.00029546822770498693,0.0015677629271522164,0.003709594532847407,0.14860883355140686,-0.08104758408984968,0.08317527842682094,-0.299236536026001,-0.1278849095106125,-0.04325675219297409,-0.020862648263573647,-0.012960905209183693,-0.009358680807054043,0.2574260211416653,0.14945195628749738,0.08143353462219238,0.1354617476463318,0.23426608741283417,0.3283824473619461,0.4477182507514955,0.7289639711380005
human.pedestrian.adult,novel,35008,0.05306792881663176,0.0569559925164548,0.010000867769122124,0.017029848881065845,0.03149793855845928,0.06609936058521271,0.1210922360420227,0.6478548049926758,0.05122938482187799,0.06269222675170165,0.00023176727700047195,0.011154236039146781,0.02740772720426321,0.06655490212142467,0.12979308068752288,0.6530050039291382,0.038071567712469896,0.08471527403702098,0.0,0.0,0.0,0.012330264784395695,0.17296212464570992,0.49611425399780273,0.7680523207877683,0.1203039707972499,0.5000038146972656,0.6815495193004608,0.789253830909729,0.8646766990423203,0.91220982670784,0.9934790730476379,0.7680523207877683,0.1203039707972499,0.5000038146972656,0.6815495193004608,0.789253830909729,0.8646766990423203,0.91220982670784,0.9934790730476379,0.008823033294745626,0.0291161001110312,5.668264293490211e-07,0.0007492905715480447,0.002132824854925275,0.006423123995773494,0.01804008278995752,0.880640983581543,-0.00183854399229963,0.02801477490595363,-0.3414618968963623,-0.010601295391097665,-0.004724408267065883,0.004503416363149881,0.02401860058307647,0.3356996178627014,0.8680519187979684,0.4207831089883066,0.021883675828576088,0.5668658763170242,0.8229458928108215,1.1165651977062225,1.4098172783851624,4.498743534088135
human.pedestrian.child,novel,264,0.038044986562013175,0.0379334065484526,0.01002438273280859,0.015492162900045514,0.0238496121019125,0.04448086582124233,0.07778047248721129,0.2858924865722656,0.03883721806138937,0.048852085967357246,0.001886033802293241,0.011305257445201278,0.021150854416191578,0.042878059670329094,0.09345482289791107,0.345085471868515,0.029326197125059975,0.07294226666189794,0.0,0.0,0.0,0.0,0.10887677818536759,0.4047093093395233,0.7537927239230184,0.12625995613224034,0.5004775524139404,0.6690391600131989,0.7656934559345245,0.8617306798696518,0.9135064363479615,0.9813221096992493,0.7537927239230184,0.12625995613224034,0.5004775524139404,0.6690391600131989,0.7656934559345245,0.8617306798696518,0.9135064363479615,0.9813221096992493,0.009474913676665756,0.0422497142066044,4.622536948772904e-07,0.0008580835419707,0.0020834144670516253,0.004899316118098795,0.013006010092794897,0.6132974028587341,0.000792231476004941,0.027468663572129296,-0.15302442014217377,-0.008393072057515383,-0.0037337131798267365,0.004590726923197508,0.025538603775203228,0.14447501301765442,0.9303367174032963,0.5021414490844797,0.17071186006069183,0.5845530778169632,0.8347535729408264,1.1877865195274353,1.5880658864974977,2.963893175125122
human.pedestrian.construction_worker,novel,3298,0.07155773249212506,0.07413886888519394,0.010001457296311855,0.019262976944446564,0.04395689070224762,0.09626305103302002,0.16788668483495714,0.613987922668457,0.06969057243398588,0.08567694526904102,0.0002836271596606821,0.011451852042227983,0.03844662941992283,0.09433117136359215,0.17379098534584056,0.740208089351654,0.04681624429324307,0.08738916453868241,0.0,0.0,0.0,0.05588463507592678,0.1860380709171296,0.48720312118530273,0.7415576002466238,0.12716726515341667,0.5000379681587219,0.6382102817296982,0.7507100105285645,0.8487203270196915,0.9055628836154938,0.9891164302825928,0.7415576002466238,0.12716726515341667,0.5000379681587219,0.6382102817296982,0.7507100105285645,0.8487203270196915,0.9055628836154938,0.9891164302825928,0.011329943942398602,0.03966610666636671,1.821341015784128e-06,0.0010566444543655962,0.0029545476427301764,0.008001880021765828,0.02168360445648432,0.8114861249923706,-0.0018671600473112793,0.037832669644280136,-0.18322333693504333,-0.013500656466931105,-0.006280798465013504,0.004726013168692589,0.03518874794244766,0.3147393763065338,0.8466484921042886,0.42473025037722884,0.0268736369907856,0.545587882399559,0.7911321520805359,1.090044379234314,1.3792004942893983,3.9522006511688232
human.pedestrian.personal_mobility,novel,211,0.07670773184412463,0.1275162416629136,0.010034353472292423,0.01594462152570486,0.031988952308893204,0.0777408592402935,0.16357797384262085,0.8316439390182495,0.041153835047337654,0.06605057783968715,0.00042425640276633203,0.004679298028349876,0.012900966219604015,0.048142433166503906,0.11609697341918945,0.3965614438056946,0.026289447229487988,0.08188290206677805,0.0,0.0,0.0,0.0,0.09762296080589294,0.4937024414539337,0.713655026603084,0.12752216835059524,0.5066256523132324,0.5941735208034515,0.7171773314476013,0.8216115832328796,0.8854078054428101,0.9486499428749084,0.713655026603084,0.12752216835059524,0.5066256523132324,0.5941735208034515,0.7171773314476013,0.8216115832328796,0.8854078054428101,0.9486499428749084,0.055108114242665915,0.09015057890177859,4.353152576186403e-07,0.003998396452516317,0.015185070224106312,0.07233589887619019,0.1534053236246109,0.7738661170005798,-0.035553896914443696,0.07937073588907913,-0.5058306455612183,-0.033020079135894775,-0.013636097311973572,-0.008804782293736935,-0.00010847114026546478,0.040598973631858826,0.48822591824554157,0.33472602172976645,0.04228039085865021,0.19451776146888733,0.4293971359729767,0.7045926153659821,0.9931795001029968,1.4976409673690796
human.pedestrian.police_officer,novel,212,0.07915516407668309,0.0760087523375204,0.010228394530713558,0.02177906595170498,0.05190182290971279,0.11237340047955513,0.18963125795125965,0.4227466881275177,0.07888100909635881,0.08537428511500036,0.0018611743580549955,0.015435869339853525,0.05147877149283886,0.11056389845907688,0.18986610174179078,0.5835834741592407,0.05669130414794638,0.0960968926950555,0.0,0.0,0.0,0.0817963294684887,0.2262223541736603,0.40433385968208313,0.7787503136216469,0.11889196525872721,0.5019571781158447,0.6917386204004288,0.8067469000816345,0.8739389777183533,0.911744487285614,0.9908238649368286,0.7787503136216469,0.11889196525872721,0.5019571781158447,0.6917386204004288,0.8067469000816345,0.8739389777183533,0.911744487285614,0.9908238649368286,0.007138299268327278,0.015143009671281914,1.936475200636778e-06,0.0011703342315740883,0.0026751639088615775,0.007553445640951395,0.01500253193080427,0.13235653936862946,-0.00027415503853193995,0.039350216765976664,-0.14002344012260437,-0.012071934528648853,-0.0030439086258411407,0.012980183586478233,0.04020434878766538,0.1801937222480774,0.9455981356495956,0.401969010180706,0.16279175877571106,0.657276913523674,0.9009963274002075,1.213735431432724,1.4861884117126465,2.158698558807373
human.pedestrian.stroller,novel,117,0.09403619167800897,0.1444710433849728,0.010032364167273045,0.022337986156344414,0.04096829146146774,0.08528120815753937,0.17655693590641036,0.6956912875175476,0.027220071812805075,0.05534095281697462,0.0011076322989538312,0.004652662202715874,0.00839516706764698,0.020799865946173668,0.045785099267959595,0.2892424762248993,0.032720803544840686,0.07763624093448424,0.0,0.0,0.0,0.010431365109980106,0.12259476780891425,0.33337417244911194,0.7496084922399276,0.12219139349112501,0.502059817314148,0.6671671867370605,0.7803613543510437,0.8502269983291626,0.8870367527008057,0.9680082201957703,0.7496084922399276,0.12219139349112501,0.502059817314148,0.6671671867370605,0.7803613543510437,0.8502269983291626,0.8870367527008057,0.9680082201957703,0.13134518403221124,0.17228874062967264,0.00018335258937440813,0.017492076382040977,0.045885708183050156,0.16816049814224243,0.41515519618988045,0.7735399603843689,-0.06681611991893405,0.09384966037646414,-0.48609447479248047,-0.06999849528074265,-0.030548160895705223,-0.01728651113808155,-0.00892188660800457,-0.0018065422773361206,0.25839441718581396,0.17232310740623966,0.04953327775001526,0.1377730667591095,0.2087712436914444,0.34986501932144165,0.48490700721740726,0.9025517702102661
human.pedestrian.wheelchair,novel,28,0.06263436669749874,0.08439018623650481,0.010566369630396366,0.017027265392243862,0.026370292529463768,0.0758564118295908,0.15771764069795613,0.411552369594574,0.019957810627862012,0.02908052168955362,0.0010871378472074866,0.003280895121861249,0.006983831524848938,0.020848412066698074,0.048880966380238575,0.11023053526878357,0.021759337379730175,0.06584847838459028,0.0,0.0,0.0,0.0,0.03564041666686537,0.2591227889060974,0.7095483456339154,0.12409314553148316,0.516095757484436,0.6008457839488983,0.7005533874034882,0.8216481357812881,0.8780163586139679,0.9471169710159302,0.7095483456339154,0.12409314553148316,0.516095757484436,0.6008457839488983,0.7005533874034882,0.8216481357812881,0.8780163586139679,0.9471169710159302,0.0764228834180228,0.1075293338038346,0.0003282144898548722,0.007069484447129071,0.02998080663383007,0.08190795220434666,0.20504826158285144,0.47205930948257446,-0.042676555774440725,0.06577490350070253,-0.3013218343257904,-0.06023144442588091,-0.01671010535210371,-0.008296717191115022,-0.004694036860018967,0.036710143089294434,0.3725072434172034,0.37219461492652955,0.03877447172999382,0.12612528540194035,0.2285609021782875,0.46369268745183945,0.7201195299625398,1.5778909921646118
movable_object.barrier,unknown,10801,0.03776161077407932,0.03924596643663177,0.010000523179769516,0.014658888801932335,0.02352815680205822,0.04419887438416481,0.08039074391126633,0.5735041499137878,0.02886622485281336,0.04000195656337015,0.00015629948757123202,0.006660130340605974,0.013852178119122982,0.033466190099716187,0.07229427993297577,0.46580153703689575,0.03204885000434062,0.07240509885870673,0.0,0.0,0.0,0.020081184804439545,0.1238274797797203,0.49837255477905273,0.7993624023392999,0.1408347685727267,0.5001381635665894,0.6922629475593567,0.8480930924415588,0.9166154265403748,0.9484468102455139,0.9929437041282654,0.7993624023392999,0.1408347685727267,0.5001381635665894,0.6922629475593567,0.8480930924415588,0.9166154265403748,0.9484468102455139,0.9929437041282654,0.00522193456584539,0.024961604852002887,5.58355395696708e-07,0.0002137472911272198,0.0007039432530291378,0.00236125523224473,0.007501814514398575,0.5813481211662292,-0.008895385918233249,0.016631521131412898,-0.35583311319351196,-0.012527422979474068,-0.00830899178981781,-0.005108267068862915,0.0006442861631512642,0.2150767594575882,0.6305389729406142,0.288670093596743,0.012011644430458546,0.4172689914703369,0.5995100736618042,0.8012830018997192,1.0159722566604614,2.1282663345336914
