group,role,count,tobj_mean,tobj_std,tobj_min,tobj_p25,tobj_p50,tobj_p75,tobj_p90,tobj_max,tunk_mean,tunk_std,tunk_min,tunk_p25,tunk_p50,tunk_p75,tunk_p90,tunk_max,max_known_iou_mean,max_known_iou_std,max_known_iou_min,max_known_iou_p25,max_known_iou_p50,max_known_iou_p75,max_known_iou_p90,max_known_iou_max,best_full_iou_mean,best_full_iou_std,best_full_iou_min,best_full_iou_p25,best_full_iou_p50,best_full_iou_p75,best_full_iou_p90,best_full_iou_max,best_target_iou_mean,best_target_iou_std,best_target_iou_min,best_target_iou_p25,best_target_iou_p50,best_target_iou_p75,best_target_iou_p90,best_target_iou_max,max_known_score_mean,max_known_score_std,max_known_score_min,max_known_score_p25,max_known_score_p50,max_known_score_p75,max_known_score_p90,max_known_score_max,tunk_minus_tobj_mean,tunk_minus_tobj_std,tunk_minus_tobj_min,tunk_minus_tobj_p25,tunk_minus_tobj_p50,tunk_minus_tobj_p75,tunk_minus_tobj_p90,tunk_minus_tobj_max,tunk_over_tobj_mean,tunk_over_tobj_std,tunk_over_tobj_min,tunk_over_tobj_p25,tunk_over_tobj_p50,tunk_over_tobj_p75,tunk_over_tobj_p90,tunk_over_tobj_max
__BACKGROUND__|stride16,background,666797,0.04874888888741614,0.06504394326152632,0.010000009089708328,0.014633686281740665,0.02425830252468586,0.051343947649002075,0.11360227465629578,0.870592474937439,0.042275619837202606,0.06884524360447002,0.00011021045793313533,0.007470734883099794,0.015582666732370853,0.04306069016456604,0.11140071004629139,0.8066304922103882,0.04338500820231531,0.09554876448412372,0.0,0.0,0.0,0.03395410627126694,0.14312663674354564,0.4999948740005493,0.05286194716664501,0.10203668947131414,0.0,0.0,0.0034897811710834503,0.05253702774643898,0.17698232531547564,0.5062525272369385,0.013107273475746844,0.04869970409235646,0.0,0.0,0.0,0.0,0.027366389334201813,0.4999622106552124,0.0019011908662443812,0.024601649445304765,1.335500265930989e-09,2.5484930574748432e-06,1.2422792678989936e-05,6.402940198313445e-05,0.0005951598519459369,0.9582928419113159,-0.006473269049870647,0.0208904631543,-0.6682791709899902,-0.010893108323216438,-0.006828594952821732,-0.0033423956483602524,0.005925022065639499,0.2873656153678894,0.6977752452429323,0.3076621130957956,0.00628675939515233,0.48782631754875183,0.6752374768257141,0.8910372257232666,1.0958588123321533,3.428495407104492
__BACKGROUND__|stride32,background,320916,0.04331032229085272,0.04204556484784368,0.010000037029385567,0.01742521720007062,0.031116978265345097,0.05447440780699253,0.0839809849858284,0.8017274141311646,0.03983079675267365,0.046544374830646766,3.9199672755785286e-05,0.0114204625133425,0.02486280631273985,0.05123788397759199,0.08805137872695923,0.7892966866493225,0.04192584661986696,0.07817013952135805,0.0,0.0,0.010165158193558455,0.04167668800801039,0.12629450857639313,0.49998605251312256,0.04766202297898381,0.08199125970585967,0.0,0.0022366088815033436,0.014344160910695791,0.050978912971913815,0.14126279950141907,0.499985933303833,0.010548488029948806,0.03594918881694257,0.0,0.0,0.00023493047774536535,0.005407367600128055,0.02288354840129614,0.4998939335346222,0.0006816355989813316,0.011826152979381476,1.737401689183571e-08,8.989015441329684e-06,3.4803259040927514e-05,0.00011200712833669968,0.00035693625977728516,0.9865098595619202,-0.0034795255372638777,0.019688619185340647,-0.5721224546432495,-0.009394112275913358,-0.004802120849490166,0.001096346415579319,0.012535013258457184,0.24107696115970612,0.8247423139304446,0.31970681270412316,0.003551278728991747,0.6014841794967651,0.8120412528514862,1.0308689177036285,1.2387427687644958,3.0844814777374268
__BACKGROUND__|stride8,background,767762,0.033279347299458535,0.04363511747430363,0.010000023059546947,0.013006487861275673,0.018751133233308792,0.033770984038710594,0.06694215536117554,0.8979074358940125,0.02578743587879593,0.05449539070951715,7.66362136346288e-05,0.004644957021810114,0.009080969262868166,0.022138819564133883,0.05756202563643456,0.9889623522758484,0.03672602674777232,0.08982825296385298,0.0,0.0,0.0,0.018399688880890608,0.12284170761704445,0.49999165534973145,0.05060734547938823,0.10566289180283937,0.0,0.0,0.0,0.04486998915672302,0.188657532632351,0.5051226615905762,0.016130265299850947,0.06601400035837415,0.0,0.0,0.0,0.0,0.014729607012122883,0.4999830424785614,0.006243804069394123,0.04157100146022292,7.976476146254186e-10,4.772477154801891e-06,2.883886463678209e-05,0.00022746067406842485,0.002134899888187648,0.9547097682952881,-0.007491911420964832,0.020471130310110032,-0.5438418388366699,-0.012319740373641253,-0.008525417186319828,-0.005477518308907747,0.0003849513828754459,0.49144309759140015,0.5599117321600035,0.3365515825332433,0.0068688830360770226,0.32282932102680206,0.5026463568210602,0.7354386299848557,1.0107289671897888,8.557069778442383
animal|stride8,unknown,35,0.12688434012234212,0.14851118614193534,0.010291050188243389,0.026527654379606247,0.05417561158537865,0.16892599314451218,0.34612389802932747,0.543919563293457,0.045836755305728206,0.08023545751825759,0.0009323689737357199,0.0049057272262871265,0.014103206805884838,0.05057830363512039,0.10590168386697772,0.3964977562427521,0.0045253314489985185,0.011586767533272762,0.0,0.0,0.0,0.0,0.018069346249103564,0.049214206635951996,0.7355982218469892,0.1233991771742669,0.5098279714584351,0.6334256529808044,0.7574347853660583,0.8305490612983704,0.8972129583358766,0.931281566619873,0.7355982218469892,0.1233991771742669,0.5098279714584351,0.6334256529808044,0.7574347853660583,0.8305490612983704,0.8972129583358766,0.931281566619873,0.005762478429872837,0.024742588490010303,1.4723140111527755e-06,5.945977318333462e-05,0.00029546822770498693,0.0015677629271522164,0.003709594532847407,0.14860883355140686,-0.08104758408984968,0.08317527842682094,-0.299236536026001,-0.1278849095106125,-0.04325675219297409,-0.020862648263573647,-0.012960905209183693,-0.009358680807054043,0.2574260211416653,0.14945195628749738,0.08143353462219238,0.1354617476463318,0.23426608741283417,0.3283824473619461,0.4477182507514955,0.7289639711380005
human.pedestrian.adult|stride16,novel,4587,0.09648631862156598,0.08933835292381018,0.010000867769122124,0.02814519964158535,0.06863021105527878,0.13513301312923431,0.2203862726688385,0.6478548049926758,0.07372790299822102,0.07372259976135526,0.0008587062475271523,0.016764593310654163,0.05010120943188667,0.10802389308810234,0.1752661466598515,0.5718892216682434,0.052006667642089915,0.09640508244483562,0.0,0.0,0.0,0.05787844397127628,0.21176223456859605,0.49611425399780273,0.815203328056743,0.1308901061497802,0.5000038146972656,0.7402178943157196,0.8615109324455261,0.9141017496585846,0.9464944362640381,0.9919736385345459,0.815203328056743,0.1308901061497802,0.5000038146972656,0.7402178943157196,0.8615109324455261,0.9141017496585846,0.9464944362640381,0.9919736385345459,0.00775049955775671,0.027438872087338962,6.159752956591547e-07,0.0007654981745872647,0.0021365638822317123,0.0059177144430577755,0.01557849179953337,0.8367171287536621,-0.02275841562099737,0.03791303193563852,-0.22996851801872253,-0.03840339556336403,-0.015061214566230774,-0.005341037642210722,0.010292547196149832,0.17581547796726227,0.7287291361549749,0.336854040721646,0.07126875221729279,0.5073949694633484,0.6683728098869324,0.8662207424640656,1.1510972976684573,2.758429765701294
human.pedestrian.adult|stride32,novel,116,0.05355280473956774,0.04557211373986017,0.010043224319815636,0.019419961143285036,0.039538994431495667,0.0667441263794899,0.11116719618439674,0.2317829728126526,0.024663083171492024,0.02634117136993954,0.0009740094537846744,0.005981411086395383,0.015301245730370283,0.0334725109860301,0.06022610701620579,0.12980885803699493,0.059039016437901444,0.10113918124048188,0.0,0.0,0.0005668633966706693,0.08036337047815323,0.20438678562641144,0.4416120648384094,0.6706907476844459,0.14552938629941498,0.50221848487854,0.5536202192306519,0.622637003660202,0.7231260240077972,0.9350124001502991,0.9865704774856567,0.6706907476844459,0.14552938629941498,0.50221848487854,0.5536202192306519,0.622637003660202,0.7231260240077972,0.9350124001502991,0.9865704774856567,0.008771302868369494,0.019781250564119522,2.867306648113299e-06,0.0009620901400921866,0.0025406278437003493,0.008754029171541333,0.01892706472426653,0.16826312243938446,-0.02888972152040565,0.026165829085406905,-0.16221389174461365,-0.037126243114471436,-0.02191806212067604,-0.012060858309268951,-0.00893027102574706,0.020982153713703156,0.4041184529919049,0.19675814324393257,0.09624583274126053,0.2770923599600792,0.3648480623960495,0.4920036718249321,0.6622062921524048,1.201445460319519
human.pedestrian.adult|stride8,novel,30305,0.046494214919839356,0.04693449549742108,0.010001147165894508,0.016434097662568092,0.028904858976602554,0.05788381025195122,0.10394318401813514,0.5370888113975525,0.047925672171046756,0.060205622836437156,0.00023176727700047195,0.010748610831797123,0.025339659303426743,0.060329850763082504,0.12001763135194783,0.6530050039291382,0.03588207662422317,0.08251456407292043,0.0,0.0,0.0,0.005825781729072332,0.1651414424180985,0.49605387449264526,0.7612881654383935,0.11673189277777592,0.5000192523002625,0.6775333881378174,0.7803061008453369,0.8544147610664368,0.9028934717178345,0.9934790730476379,0.7612881654383935,0.11673189277777592,0.5000192523002625,0.6775333881378174,0.7803061008453369,0.8544147610664368,0.9028934717178345,0.9934790730476379,0.008985571258151921,0.029387945963582258,5.668264293490211e-07,0.0007477645995095372,0.0021297389175742865,0.006493035703897476,0.01855083070695401,0.880640983581543,0.0014314572535045881,0.024631310841259715,-0.3414618968963623,-0.00905577838420868,-0.003805171698331833,0.005704062059521675,0.02563298940658571,0.3356996178627014,0.8909157988843209,0.4277008613816708,0.021883675828576088,0.5862506031990051,0.8567482829093933,1.1454224586486816,1.4316955327987675,4.498743534088135
human.pedestrian.child|stride16,novel,38,0.05303235572615737,0.041644761349978965,0.010662375949323177,0.02176729217171669,0.036566102877259254,0.07458853907883167,0.11417700722813616,0.17805205285549164,0.036383430951421984,0.029104777178298652,0.0056009250693023205,0.01724076922982931,0.026743225753307343,0.0446522980928421,0.08208243399858481,0.1332424134016037,0.07162112041413293,0.09412537982352213,0.0,0.0,0.03278353437781334,0.09288394451141357,0.2029178470373155,0.3578575849533081,0.7941184028198844,0.13042692958331042,0.5060364603996277,0.7169705927371979,0.8330512642860413,0.9001057296991348,0.9297483921051025,0.9813221096992493,0.7941184028198844,0.13042692958331042,0.5060364603996277,0.7169705927371979,0.8330512642860413,0.9001057296991348,0.9297483921051025,0.9813221096992493,0.010615043180510647,0.01939197634499378,0.000298762897728011,0.0007763690955471247,0.0025530651910230517,0.011543596861883998,0.030562197230756375,0.08889086544513702,-0.016648924786989625,0.022770802225095418,-0.08370848000049591,-0.025184279773384333,-0.008370052091777325,-0.004378559649921954,-0.0015023307874798735,0.023282665759325027,0.719591496022124,0.2764830615365584,0.30292263627052307,0.5264397859573364,0.6874217987060547,0.8372432887554169,0.9560730159282684,1.6382896900177002
human.pedestrian.child|stride32,novel,2,0.16833650320768356,0.11755598336458206,0.0507805198431015,0.10955851152539253,0.16833650320768356,0.2271144948899746,0.2623812898993492,0.2858924865722656,0.08163637388497591,0.05123169254511595,0.030404681339859962,0.056020527612417936,0.08163637388497591,0.10725222015753388,0.12262172792106867,0.13286806643009186,0.09576661139726639,0.09576661139726639,0.0,0.047883305698633194,0.09576661139726639,0.14364991709589958,0.1723799005150795,0.19153322279453278,0.5758892893791199,0.0013736486434936523,0.5745156407356262,0.575202465057373,0.5758892893791199,0.5765761137008667,0.5769882082939148,0.5772629380226135,0.5758892893791199,0.0013736486434936523,0.5745156407356262,0.575202465057373,0.5758892893791199,0.5765761137008667,0.5769882082939148,0.5772629380226135,0.005175598198547959,0.001600828254595399,0.0035747699439525604,0.00437518407125026,0.005175598198547959,0.005976012325845659,0.0064562608022242785,0.006776426453143358,-0.08670012932270765,0.06632429081946611,-0.15302442014217377,-0.11986227473244071,-0.08670012932270765,-0.053537983912974596,-0.03364069666713476,-0.02037583850324154,0.5317476540803909,0.06699930131435394,0.464748352766037,0.49824800342321396,0.5317476540803909,0.5652473047375679,0.5853470951318741,0.5987469553947449
human.pedestrian.child|stride8,novel,224,0.034339169323045225,0.03278554313854784,0.01002438273280859,0.014719272963702679,0.021259762346744537,0.0408386941999197,0.06948407441377641,0.21865859627723694,0.038871350197691105,0.051265747938824,0.001886033802293241,0.010268392506986856,0.01968077290803194,0.04265703447163105,0.09345482289791107,0.345085471868515,0.021557947511090397,0.06544156378757196,0.0,0.0,0.0,0.0,0.07798231691122061,0.4047093093395233,0.7485401840614421,0.12375945317421182,0.5004775524139404,0.6668979376554489,0.7593769431114197,0.8517757505178452,0.9022148966789246,0.977320671081543,0.7485401840614421,0.12375945317421182,0.5004775524139404,0.6668979376554489,0.7593769431114197,0.8517757505178452,0.9022148966789246,0.977320671081543,0.009319885595460977,0.04516158484663923,4.622536948772904e-07,0.0008580835419707,0.00201151252258569,0.004704913240857422,0.012140153907239446,0.6132974028587341,0.004532180849180024,0.02506168633634704,-0.07465171813964844,-0.006766239181160927,-0.002546719741076231,0.007482368033379316,0.03290624395012857,0.14447501301765442,0.9696469698101282,0.5231307634123951,0.17071186006069183,0.60380619764328,0.8786622285842896,1.2315185964107513,1.6115180134773255,2.963893175125122
