tobj_threshold,group,role,count,class_retention_pct,share_at_threshold_pct
0.01,__BACKGROUND__,background,1755475,100.0,95.8508625608461
0.01,animal,unknown,35,100.0,0.001911038430982847
0.01,human.pedestrian.adult,novel,35008,100.0,1.9114752397670718
0.01,human.pedestrian.child,novel,264,100.0,0.014414689879413474
0.01,human.pedestrian.construction_worker,novel,3298,100.0,0.18007442129661227
0.01,human.pedestrian.personal_mobility,novel,211,100.0,0.011520831683925164
0.01,human.pedestrian.police_officer,novel,212,100.0,0.011575432781953245
0.01,human.pedestrian.stroller,novel,117,100.0,0.006388328469285517
0.01,human.pedestrian.wheelchair,novel,28,100.0,0.0015288307447862775
0.01,movable_object.barrier,unknown,10801,100.0,0.5897464598013066
0.01,movable_object.debris,unknown,926,100.0,0.05056061677400332
0.01,movable_object.pushable_pullable,unknown,1042,100.0,0.056894344145260754
0.01,movable_object.trafficcone,unknown,22619,100.0,1.235022236297172
0.01,static_object.bicycle_rack,unknown,1427,100.0,0.07791576688607207
0.01,vehicle.ego,unknown,2,100.0,0.00010920219605616268
0.02,__BACKGROUND__,background,969481,55.22613537646506,95.08948100429015
0.02,animal,unknown,29,82.85714285714286,0.0028444032932305164
0.02,human.pedestrian.adult,novel,23901,68.27296617915904,2.3442787279828474
0.02,human.pedestrian.child,novel,151,57.1969696969697,0.014810513699234758
0.02,human.pedestrian.construction_worker,novel,2434,73.80230442692542,0.23873371088700265
0.02,human.pedestrian.personal_mobility,novel,141,66.82464454976304,0.013829684977431133
0.02,human.pedestrian.police_officer,novel,164,77.35849056603774,0.01608559103757947
0.02,human.pedestrian.stroller,novel,94,80.34188034188034,0.009219789984954088
0.02,human.pedestrian.wheelchair,novel,16,57.14285714285714,0.0015693259548858023
0.02,movable_object.barrier,unknown,6289,58.22609017683548,0.6168431831423006
0.02,movable_object.debris,unknown,580,62.634989200863934,0.05688806586461033
0.02,movable_object.pushable_pullable,unknown,759,72.84069097888676,0.07444489998489524
0.02,movable_object.trafficcone,unknown,14528,64.22918785092179,1.4249479670363083
0.02,static_object.bicycle_rack,unknown,977,68.46531184302734,0.0958269661202143
0.02,vehicle.ego,unknown,2,100.0,0.00019616574436072528
0.03,__BACKGROUND__,background,664981,37.88040273999915,94.75309345629263
0.03,animal,unknown,26,74.28571428571429,0.0037047380750180963
0.03,human.pedestrian.adult,novel,18142,51.82244058500915,2.585052236806858
0.03,human.pedestrian.child,novel,110,41.66666666666667,0.015673891855845792
0.03,human.pedestrian.construction_worker,novel,2032,61.61309884778654,0.2895395295552604
0.03,human.pedestrian.personal_mobility,novel,112,53.08056872037915,0.015958871707770262
0.03,human.pedestrian.police_officer,novel,144,67.9245283018868,0.020518549338561762
0.03,human.pedestrian.stroller,novel,76,64.95726495726495,0.01082923437312982
0.03,human.pedestrian.wheelchair,novel,13,46.42857142857143,0.0018523690375090481
0.03,movable_object.barrier,unknown,4188,38.774187575224516,0.5967478099298379
0.03,movable_object.debris,unknown,429,46.32829373650108,0.061128178237798585
0.03,movable_object.pushable_pullable,unknown,586,56.23800383877159,0.0834990966138694
0.03,movable_object.trafficcone,unknown,10199,45.09041071665414,1.4532547548888295
0.03,static_object.bicycle_rack,unknown,765,53.60896986685354,0.10900479336110937
0.03,vehicle.ego,unknown,1,50.0,0.00014248992596223447
0.05,__BACKGROUND__,background,378914,21.584699297910824,94.39904732483632
0.05,animal,unknown,19,54.285714285714285,0.004733480154261627
0.05,human.pedestrian.adult,novel,11835,33.80655850091407,2.9484598750361237
0.05,human.pedestrian.child,novel,59,22.348484848484848,0.014698701531654527
0.05,human.pedestrian.construction_worker,novel,1527,46.300788356579744,0.3804223260819739
0.05,human.pedestrian.personal_mobility,novel,77,36.492890995260666,0.01918305115148133
0.05,human.pedestrian.police_officer,novel,108,50.943396226415096,0.026906097718960825
0.05,human.pedestrian.stroller,novel,48,41.02564102564102,0.011958265652871478
0.05,human.pedestrian.wheelchair,novel,10,35.714285714285715,0.002491305344348225
0.05,movable_object.barrier,unknown,2312,21.40542542357189,0.5759897956133095
0.05,movable_object.debris,unknown,250,26.997840172786177,0.06228263360870561
0.05,movable_object.pushable_pullable,unknown,384,36.85220729366603,0.09566612522297183
0.05,movable_object.trafficcone,unknown,5331,23.568681197223572,1.3281148790720387
0.05,static_object.bicycle_rack,unknown,521,36.510161177295025,0.1297970084405425
0.05,vehicle.ego,unknown,1,50.0,0.0002491305344348225
0.075,__BACKGROUND__,background,217305,12.37870092140304,94.22520737307207
0.075,animal,unknown,14,40.0,0.0060705133486252455
0.075,human.pedestrian.adult,novel,7465,21.32369744058501,3.236884439106247
0.075,human.pedestrian.child,novel,29,10.984848484848484,0.012574634793580865
0.075,human.pedestrian.construction_worker,novel,1083,32.83808368708308,0.4695975683257958
0.075,human.pedestrian.personal_mobility,novel,56,26.540284360189574,0.024282053394500982
0.075,human.pedestrian.police_officer,novel,76,35.84905660377358,0.032954215321108475
0.075,human.pedestrian.stroller,novel,36,30.76923076923077,0.015609891467893489
0.075,human.pedestrian.wheelchair,novel,8,28.57142857142857,0.0034688647706429972
0.075,movable_object.barrier,unknown,1233,11.415609665771688,0.5346387827753519
0.075,movable_object.debris,unknown,160,17.278617710583152,0.06937729541285995
0.075,movable_object.pushable_pullable,unknown,244,23.41650671785029,0.10580037550461142
0.075,movable_object.trafficcone,unknown,2585,11.428445112516027,1.1208769290140186
0.075,static_object.bicycle_rack,unknown,329,23.055360896986684,0.14265706369269326
0.075,vehicle.ego,unknown,0,0.0,0.0
0.1,__BACKGROUND__,background,141266,8.047166721257778,94.30307076101468
0.1,animal,unknown,13,37.142857142857146,0.008678237650200267
0.1,human.pedestrian.adult,novel,4919,14.051074040219378,3.283711615487316
0.1,human.pedestrian.child,novel,20,7.575757575757576,0.01335113484646195
0.1,human.pedestrian.construction_worker,novel,788,23.893268647665252,0.5260347129506008
0.1,human.pedestrian.personal_mobility,novel,41,19.431279620853083,0.027369826435246995
0.1,human.pedestrian.police_officer,novel,59,27.830188679245282,0.03938584779706275
0.1,human.pedestrian.stroller,novel,25,21.367521367521366,0.016688918558077435
0.1,human.pedestrian.wheelchair,novel,4,14.285714285714285,0.00267022696929239
0.1,movable_object.barrier,unknown,725,6.712341449865754,0.48397863818424564
0.1,movable_object.debris,unknown,113,12.203023758099352,0.07543391188251002
0.1,movable_object.pushable_pullable,unknown,177,16.986564299424185,0.11815754339118825
0.1,movable_object.trafficcone,unknown,1440,6.3663291922719845,0.9612817089452604
0.1,static_object.bicycle_rack,unknown,210,14.716187806587246,0.14018691588785046
0.1,vehicle.ego,unknown,0,0.0,0.0
0.15,__BACKGROUND__,background,73675,4.196869793075948,94.96526211314627
0.15,animal,unknown,9,25.71428571428571,0.01160077854113765
0.15,human.pedestrian.adult,novel,2308,6.592778793418646,2.974955208105077
0.15,human.pedestrian.child,novel,5,1.893939393939394,0.006444876967298694
0.15,human.pedestrian.construction_worker,novel,413,12.52274105518496,0.5323468374988721
0.15,human.pedestrian.personal_mobility,novel,26,12.322274881516588,0.033513360229953215
0.15,human.pedestrian.police_officer,novel,33,15.566037735849056,0.042536187984171386
0.15,human.pedestrian.stroller,novel,16,13.675213675213676,0.020623606295355822
0.15,human.pedestrian.wheelchair,novel,3,10.714285714285714,0.0038669261803792165
0.15,movable_object.barrier,unknown,271,2.5090269419498195,0.34931233162758923
0.15,movable_object.debris,unknown,67,7.235421166306695,0.08636135136180251
0.15,movable_object.pushable_pullable,unknown,114,10.9404990403071,0.1469431948544102
0.15,movable_object.trafficcone,unknown,542,2.3962155709801496,0.6986246632551785
0.15,static_object.bicycle_rack,unknown,99,6.937631394533987,0.12760856395251416
0.15,vehicle.ego,unknown,0,0.0,0.0
0.2,__BACKGROUND__,background,43317,2.4675372762357766,95.74087171779684
0.2,animal,unknown,9,25.71428571428571,0.019892140394306427
0.2,human.pedestrian.adult,novel,1143,3.2649680073126146,2.526301830076916
0.2,human.pedestrian.child,novel,3,1.1363636363636365,0.006630713464768808
0.2,human.pedestrian.construction_worker,novel,221,6.701030927835052,0.4884625585713022
0.2,human.pedestrian.personal_mobility,novel,13,6.161137440758294,0.028733091680664836
0.2,human.pedestrian.police_officer,novel,19,8.962264150943396,0.04199451861020246
0.2,human.pedestrian.stroller,novel,11,9.401709401709402,0.02431261603748563
0.2,human.pedestrian.wheelchair,novel,1,3.571428571428571,0.002210237821589603
0.2,movable_object.barrier,unknown,104,0.9628738079807426,0.2298647334453187
0.2,movable_object.debris,unknown,37,3.995680345572354,0.08177879939881531
0.2,movable_object.pushable_pullable,unknown,88,8.445297504798464,0.19450092829988505
0.2,movable_object.trafficcone,unknown,228,1.0080021221097306,0.5039342233224294
0.2,static_object.bicycle_rack,unknown,50,3.50385423966363,0.11051189107948016
0.2,vehicle.ego,unknown,0,0.0,0.0
0.3,__BACKGROUND__,background,15533,0.8848317406969625,96.79690907957874
0.3,animal,unknown,5,14.285714285714285,0.031158471988533686
0.3,human.pedestrian.adult,novel,270,0.7712522851919561,1.682557487380819
0.3,human.pedestrian.child,novel,0,0.0,0.0
0.3,human.pedestrian.construction_worker,novel,64,1.9405700424499697,0.3988284414532311
0.3,human.pedestrian.personal_mobility,novel,9,4.265402843601896,0.056085249579360626
0.3,human.pedestrian.police_officer,novel,3,1.4150943396226416,0.01869508319312021
0.3,human.pedestrian.stroller,novel,10,8.547008547008547,0.06231694397706737
0.3,human.pedestrian.wheelchair,novel,1,3.571428571428571,0.006231694397706736
0.3,movable_object.barrier,unknown,21,0.19442644199611148,0.13086558235184145
0.3,movable_object.debris,unknown,14,1.511879049676026,0.08724372156789431
0.3,movable_object.pushable_pullable,unknown,52,4.990403071017274,0.3240481086807503
0.3,movable_object.trafficcone,unknown,50,0.22105309695388833,0.3115847198853368
0.3,static_object.bicycle_rack,unknown,15,1.051156271899089,0.09347541596560105
0.3,vehicle.ego,unknown,0,0.0,0.0
