gt_class,role,novel_class,N,mean_cos,std_cos,p10_cos,p50_cos,p90_cos,max_cos
autorickshaw,base,bus,6200,0.49709898233413696,0.16828890144824982,0.29995089769363403,0.44289784133434296,0.7247688412666322,0.9154754877090454
autorickshaw,base,truck,6200,0.5543258786201477,0.18741050362586975,0.34532509446144105,0.46857599914073944,0.7820084512233735,0.943638801574707
autorickshaw,base,tanker_vehicle,6200,0.5903204679489136,0.15455025434494019,0.42429729998111726,0.5273094475269318,0.8118404626846314,0.9510487914085388
autorickshaw,base,crane_truck,6200,0.4137446880340576,0.13953503966331482,0.263900950551033,0.3860457241535187,0.5731263160705566,0.9166131615638733
autorickshaw,base,street_cart,6200,0.5693755745887756,0.14956052601337433,0.37859328389167785,0.5347104668617249,0.7740446627140045,0.9324381947517395
autorickshaw,base,excavator,6200,0.5368016958236694,0.1590890735387802,0.36587468087673186,0.46530021727085114,0.7378239572048187,0.9480895400047302
bicycle,base,bus,161,0.39360326528549194,0.15089786052703857,0.27137619256973267,0.32192105054855347,0.6544527411460876,0.8024674654006958
bicycle,base,truck,161,0.3868250250816345,0.19539687037467957,0.1796085387468338,0.38268813490867615,0.7006170749664307,0.866320013999939
bicycle,base,tanker_vehicle,161,0.3803249001502991,0.17147725820541382,0.231351837515831,0.32466933131217957,0.6840506196022034,0.8496644496917725
bicycle,base,crane_truck,161,0.3522431254386902,0.17163655161857605,0.21647635102272034,0.28765326738357544,0.657099723815918,0.8492366671562195
bicycle,base,street_cart,161,0.5652502179145813,0.15731827914714813,0.39472025632858276,0.5554742217063904,0.7758736610412598,0.9082604646682739
bicycle,base,excavator,161,0.4189094007015228,0.18213212490081787,0.24367499351501465,0.37401318550109863,0.6941404342651367,0.8937220573425293
car,base,bus,18527,0.4913853704929352,0.15711402893066406,0.3109733462333679,0.5054463744163513,0.6839775562286378,0.9087536931037903
car,base,truck,18527,0.4750239849090576,0.1917388141155243,0.24902819693088532,0.4872075617313385,0.7252599239349365,0.9366626739501953
car,base,tanker_vehicle,18527,0.4440261721611023,0.15044060349464417,0.2768346846103668,0.41783928871154785,0.6474650979042054,0.9370080232620239
car,base,crane_truck,18527,0.31000596284866333,0.13386456668376923,0.18566997349262238,0.28100818395614624,0.4487875938415528,0.9083092212677002
car,base,street_cart,18527,0.42641350626945496,0.14044582843780518,0.2645601511001587,0.41152048110961914,0.5987019062042238,0.9057904481887817
car,base,excavator,18527,0.40532994270324707,0.14663739502429962,0.25139951705932617,0.37860286235809326,0.5732578992843629,0.93708336353302
motorcycle,base,bus,8804,0.4134901165962219,0.17413726449012756,0.24496092796325683,0.3592762351036072,0.7383426904678344,0.849966287612915
motorcycle,base,truck,8804,0.4531722068786621,0.18893739581108093,0.26690721809864043,0.4235609173774719,0.7823094010353089,0.9231902360916138
motorcycle,base,tanker_vehicle,8804,0.4820912182331085,0.16796912252902985,0.32818502485752105,0.41043367981910706,0.7981832802295684,0.9166330695152283
motorcycle,base,crane_truck,8804,0.40881431102752686,0.17685924470424652,0.2532139003276825,0.33740805089473724,0.7546485364437103,0.8791981935501099
motorcycle,base,street_cart,8804,0.5435232520103455,0.16979342699050903,0.36443812251091,0.48764170706272125,0.8081613898277282,0.9236472845077515
motorcycle,base,excavator,8804,0.5103692412376404,0.18297405540943146,0.32474214136600493,0.4462811350822449,0.8315937697887421,0.9233198165893555
person,base,bus,4156,0.2810148596763611,0.15208737552165985,0.12305402383208275,0.2632178068161011,0.4658989906311035,0.8541116714477539
person,base,truck,4156,0.330156147480011,0.1669446974992752,0.13731080293655396,0.3427032083272934,0.5160180330276489,0.8478764295578003
person,base,tanker_vehicle,4156,0.3058403432369232,0.14982852339744568,0.15450310707092285,0.29046186804771423,0.44644199311733246,0.8651543855667114
person,base,crane_truck,4156,0.28781378269195557,0.16730640828609467,0.0967826098203659,0.30198849737644196,0.46283069252967834,0.8514965176582336
person,base,street_cart,4156,0.34566810727119446,0.17006812989711761,0.1365235149860382,0.3676452785730362,0.5407375693321228,0.8601276874542236
person,base,excavator,4156,0.37542402744293213,0.18782256543636322,0.13757280260324478,0.42136554419994354,0.5699095129966736,0.898639976978302
rider,base,bus,7490,0.33607205748558044,0.15823251008987427,0.17708178758621215,0.32367032766342163,0.5623480200767518,0.9118528366088867
rider,base,truck,7490,0.382718563079834,0.17380386590957642,0.1970154657959938,0.39068375527858734,0.6473078966140747,0.8741081953048706
rider,base,tanker_vehicle,7490,0.35741138458251953,0.15997950732707977,0.21198714673519134,0.31660233438014984,0.6075591027736668,0.8804139494895935
rider,base,crane_truck,7490,0.3162774443626404,0.17754727602005005,0.13534169942140578,0.3089923560619354,0.566800445318222,0.8706477284431458
rider,base,street_cart,7490,0.3658210337162018,0.1771509349346161,0.16728637963533402,0.39134958386421204,0.6108651578426363,0.9174347519874573
rider,base,excavator,7490,0.4235337972640991,0.1929866373538971,0.1997653216123581,0.4608197957277298,0.6518637180328369,0.9148833751678467
traffic light,base,bus,139,0.4458356201648712,0.11514376103878021,0.3048201560974121,0.4774191379547119,0.5666060090065003,0.7840943932533264
traffic light,base,truck,139,0.3278680741786957,0.09973586350679398,0.22058476805686952,0.34343254566192627,0.42585585713386537,0.8083658218383789
traffic light,base,tanker_vehicle,139,0.33537280559539795,0.08795074373483658,0.22864404916763306,0.332707017660141,0.4249140501022339,0.7187744975090027
traffic light,base,crane_truck,139,0.3846094012260437,0.09697221219539642,0.280303543806076,0.39192017912864685,0.5013880968093872,0.7790592908859253
traffic light,base,street_cart,139,0.23723937571048737,0.08805757761001587,0.15110408365726472,0.22805611789226532,0.3107980966567993,0.6951215863227844
traffic light,base,excavator,139,0.3033870458602905,0.07577373087406158,0.21949347853660583,0.29432347416877747,0.3751052677631378,0.7654806971549988
traffic sign,base,bus,1737,0.44060218334198,0.12024878710508347,0.2926764845848083,0.43806809186935425,0.5846816301345825,0.8644865155220032
traffic sign,base,truck,1737,0.37717172503471375,0.1181221604347229,0.2291257977485657,0.36978447437286377,0.514820146560669,0.8673809170722961
traffic sign,base,tanker_vehicle,1737,0.38620540499687195,0.10206978768110275,0.2602483868598938,0.38792094588279724,0.4888297259807587,0.8642752170562744
traffic sign,base,crane_truck,1737,0.3731275498867035,0.10737938433885574,0.2611845850944519,0.3545885980129242,0.4954423785209656,0.8909770846366882
traffic sign,base,street_cart,1737,0.3434787094593048,0.09921888262033463,0.2340061217546463,0.33351999521255493,0.4582553386688233,0.8169621229171753
traffic sign,base,excavator,1737,0.3553270697593689,0.09381990879774094,0.25104592442512513,0.3512377440929413,0.44789434075355533,0.8833385109901428
bus,novel,bus,3421,0.5571855306625366,0.18782813847064972,0.34786221385002136,0.5147292613983154,0.8248884677886963,0.9642958641052246
bus,novel,truck,3421,0.4784250557422638,0.18381932377815247,0.29210954904556274,0.4097673296928406,0.7666677236557007,0.9280274510383606
bus,novel,tanker_vehicle,3421,0.5421966314315796,0.1806943416595459,0.3651505708694458,0.4651455283164978,0.8249400854110718,0.9409017562866211
bus,novel,crane_truck,3421,0.4539218544960022,0.1462668776512146,0.2982916533946991,0.43153083324432373,0.6416804790496826,0.9218462705612183
bus,novel,street_cart,3421,0.4098968505859375,0.16631269454956055,0.23885251581668854,0.36217331886291504,0.6496221423149109,0.90965336561203
bus,novel,excavator,3421,0.4304572343826294,0.17706304788589478,0.2603067457675934,0.36059197783470154,0.6820731163024902,0.93346107006073
crane_truck,novel,bus,88,0.5197951793670654,0.19409218430519104,0.31526498794555663,0.4395536780357361,0.8255563914775849,0.8736534118652344
crane_truck,novel,truck,88,0.5725374817848206,0.1808813363313675,0.3712324798107147,0.5156680345535278,0.8541758239269256,0.8991644978523254
crane_truck,novel,tanker_vehicle,88,0.6211519837379456,0.16843460500240326,0.44499923884868625,0.5622096061706543,0.8888742983341217,0.9479883909225464
crane_truck,novel,crane_truck,88,0.6378558874130249,0.18237730860710144,0.44680143892765045,0.5786583423614502,0.9262381792068481,0.9675328731536865
crane_truck,novel,street_cart,88,0.5214108824729919,0.18353016674518585,0.32643435299396517,0.45537200570106506,0.8199151456356049,0.8961578011512756
crane_truck,novel,excavator,88,0.591576337814331,0.19759175181388855,0.3936572015285492,0.49611687660217285,0.9152329325675964,0.9502834677696228
excavator,novel,bus,91,0.4865038990974426,0.1996118724346161,0.2649856209754944,0.4026170074939728,0.831716001033783,0.8607505559921265
excavator,novel,truck,91,0.575488269329071,0.19713377952575684,0.3840831220149994,0.525432825088501,0.8675134181976318,0.9439111948013306
excavator,novel,tanker_vehicle,91,0.6257073879241943,0.1769867092370987,0.4711523950099945,0.5642919540405273,0.907852053642273,0.9508933424949646
excavator,novel,crane_truck,91,0.5785846710205078,0.18393075466156006,0.3978688716888428,0.5077584385871887,0.893190860748291,0.9390637874603271
excavator,novel,street_cart,91,0.5391691327095032,0.17839862406253815,0.34067800641059875,0.47222062945365906,0.8439277410507202,0.8952146768569946
excavator,novel,excavator,91,0.590503454208374,0.19665347039699554,0.4415612816810608,0.49768057465553284,0.9299830198287964,0.955480694770813
street_cart,novel,bus,608,0.39513033628463745,0.19763389229774475,0.21300096809864044,0.3197263032197952,0.7614468455314637,0.876450777053833
street_cart,novel,truck,608,0.4554477035999298,0.19276344776153564,0.26484197080135347,0.3845887780189514,0.7920106112957,0.9087740182876587
street_cart,novel,tanker_vehicle,608,0.48074060678482056,0.18085812032222748,0.30644179582595826,0.42372454702854156,0.8040981233119966,0.9011804461479187
street_cart,novel,crane_truck,608,0.396101713180542,0.19347046315670013,0.20906606316566467,0.33046194911003113,0.7431680262088787,0.9095975756645203
street_cart,novel,street_cart,608,0.599217414855957,0.1699000597000122,0.40843525528907776,0.5511408448219299,0.8815316736698151,0.9574120044708252
street_cart,novel,excavator,608,0.4567771852016449,0.20742321014404297,0.2701429545879364,0.3734842538833618,0.8422325968742372,0.9186840057373047
tanker_vehicle,novel,bus,256,0.4809017479419708,0.18415217101573944,0.2632996737957001,0.42004266381263733,0.7788476347923279,0.8816308975219727
tanker_vehicle,novel,truck,256,0.5540580749511719,0.1655634343624115,0.3944096118211746,0.4854150116443634,0.83766308426857,0.9264381527900696
tanker_vehicle,novel,tanker_vehicle,256,0.6293172836303711,0.15327848494052887,0.49626128375530243,0.5592888593673706,0.8795154988765717,0.954567551612854
