level,class_a,class_b,proto_cos
0,bus,truck,0.8241558074951172
0,bus,tanker_vehicle,0.7790393829345703
0,bus,crane_truck,0.7255369424819946
0,bus,street_cart,0.6298194527626038
0,bus,excavator,0.7178150415420532
0,truck,tanker_vehicle,0.7978048920631409
0,truck,crane_truck,0.7167441248893738
0,truck,street_cart,0.7324496507644653
0,truck,excavator,0.7953130006790161
0,tanker_vehicle,crane_truck,0.757266640663147
0,tanker_vehicle,street_cart,0.6452335715293884
0,tanker_vehicle,excavator,0.8472272157669067
0,crane_truck,street_cart,0.5900436639785767
0,crane_truck,excavator,0.8296113014221191
0,street_cart,excavator,0.7592452168464661
1,bus,truck,0.8578728437423706
1,bus,tanker_vehicle,0.8448430895805359
1,bus,crane_truck,0.8168599605560303
1,bus,street_cart,0.7715960144996643
1,bus,excavator,0.8646881580352783
1,truck,tanker_vehicle,0.9464409351348877
1,truck,crane_truck,0.8855410218238831
1,truck,street_cart,0.8303665518760681
1,truck,excavator,0.9212809801101685
1,tanker_vehicle,crane_truck,0.9047890305519104
1,tanker_vehicle,street_cart,0.8646168112754822
1,tanker_vehicle,excavator,0.9618214964866638
1,crane_truck,street_cart,0.7887586951255798
1,crane_truck,excavator,0.8955703973770142
1,street_cart,excavator,0.8739228248596191
2,bus,truck,0.8006210923194885
2,bus,tanker_vehicle,0.795269250869751
2,bus,crane_truck,0.7147811055183411
2,bus,street_cart,0.8616728186607361
2,bus,excavator,0.8815549612045288
2,truck,tanker_vehicle,0.9553260803222656
2,truck,crane_truck,0.8107781410217285
2,truck,street_cart,0.8796398639678955
2,truck,excavator,0.922671914100647
2,tanker_vehicle,crane_truck,0.827248752117157
2,tanker_vehicle,street_cart,0.8290515542030334
2,tanker_vehicle,excavator,0.9095546007156372
2,crane_truck,street_cart,0.7514285445213318
2,crane_truck,excavator,0.7988689541816711
2,street_cart,excavator,0.938899576663971
