level,class,loo_total,loo_correct,loo_acc,pred_bus,pred_crane_truck,pred_excavator,pred_street_cart,pred_tanker_vehicle,pred_truck
0,bus,7,3,0.42857142857142855,3,,,,1,3
0,truck,6,4,0.6666666666666666,1,1,,,,4
0,tanker_vehicle,3,2,0.6666666666666666,,,1,,2,
0,crane_truck,6,2,0.3333333333333333,1,2,3,,,
0,street_cart,7,5,0.7142857142857143,,,1,5,1,
0,excavator,6,4,0.6666666666666666,,,4,,1,1
1,bus,6,2,0.3333333333333333,2,,1,,2,1
1,truck,5,2,0.4,,,,,3,2
1,tanker_vehicle,10,8,0.8,,,,,8,2
1,crane_truck,10,8,0.8,,8,,,1,1
1,street_cart,10,7,0.7,,,,7,3,
1,excavator,10,1,0.1,,1,1,,5,2
2,bus,3,3,1.0,3,,,,,
2,truck,2,0,0.0,,,1,,1,
2,tanker_vehicle,6,3,0.5,,,2,,3,1
2,crane_truck,4,3,0.75,,3,1,,,
2,street_cart,5,2,0.4,,,1,2,,2
2,excavator,7,5,0.7142857142857143,,,5,,2,
