gt_class,count,bicycle,motorcycle,car,bus_bendy,bus_rigid,truck,ambulance,police_car,construction_vehicle,trailer,adult_pedestrian,child_pedestrian,wheelchair_user,stroller,personal_mobility,police_officer,construction_worker,barrier,traffic_cone,pushable_object,debris,bicycle_rack,animal
animal,134,8,0,0,0,0,0,0,0,0,0,0,1,2,23,2,0,0,0,4,1,52,8,33
human.pedestrian.adult,70123,2331,328,645,75,67,17,574,52,31,139,28096,10998,8932,2744,2264,1811,4430,804,914,532,208,4044,87
human.pedestrian.child,549,21,2,3,0,0,0,0,0,1,0,120,213,52,72,13,7,8,7,6,1,1,18,4
human.pedestrian.construction_worker,8001,188,89,57,4,0,54,126,7,17,141,1477,562,665,276,240,307,2422,159,90,182,107,823,8
human.pedestrian.personal_mobility,931,99,29,14,0,0,6,2,0,4,5,74,19,47,28,37,1,39,23,12,39,18,435,0
human.pedestrian.police_officer,406,15,1,0,0,0,2,5,0,0,5,118,27,25,2,20,49,68,6,12,4,1,46,0
human.pedestrian.stroller,264,14,14,7,0,0,0,0,1,0,2,3,5,37,129,5,0,1,2,0,4,0,40,0
human.pedestrian.wheelchair,15,0,3,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,1,0
movable_object.barrier,73297,61,55,683,3,10,1971,1546,185,17,17040,342,119,602,89,132,33,494,36203,1248,1826,2639,7993,6
movable_object.debris,3075,17,9,22,0,2,9,74,10,0,52,45,58,40,12,11,0,47,761,238,227,159,1280,2
movable_object.pushable_pullable,3317,11,33,24,1,0,133,25,7,33,209,22,12,74,106,53,2,82,604,132,656,98,995,5
movable_object.trafficcone,44944,44,24,102,0,0,22,107,39,0,77,96,434,61,56,122,14,373,3504,35376,1138,503,2851,1
static_object.bicycle_rack,5932,484,995,44,1,5,8,7,27,7,26,35,7,216,33,186,8,71,1019,10,19,183,2541,0
vehicle.bicycle,21977,5673,738,105,0,2,4,9,49,15,19,629,318,2128,373,375,154,302,547,64,53,328,10083,9
vehicle.bus.bendy,450,0,0,49,33,128,8,89,3,2,89,2,0,1,0,0,0,0,26,0,14,1,5,0
vehicle.bus.rigid,17381,2,39,1096,1223,5320,435,4094,141,119,3011,224,34,16,6,7,41,246,457,30,343,99,397,1
vehicle.car,275770,511,7115,87689,241,1365,6933,40590,74728,618,3205,5812,973,3422,172,782,3087,1765,10550,4177,350,4908,16765,12
vehicle.construction,10708,6,52,350,118,171,2522,1003,385,1112,2576,69,6,96,8,47,44,579,428,10,246,164,714,2
vehicle.ego,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
vehicle.emergency.ambulance,58,0,0,20,0,0,2,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
vehicle.emergency.police,712,0,20,85,1,4,28,137,218,1,8,27,3,2,0,0,20,20,56,1,0,26,55,0
vehicle.motorcycle,26271,669,7782,433,0,13,137,136,478,120,99,593,321,4327,992,2135,2511,1360,383,172,161,293,3149,7
vehicle.trailer,6390,0,11,48,25,56,1205,412,46,79,3069,55,5,13,0,18,12,375,447,18,115,105,276,0
vehicle.truck,64305,19,474,3948,557,1257,17126,16023,3061,416,12410,598,28,233,14,50,269,2491,2095,76,281,852,2026,1
