prompt,parent_class,vehicle.truck,vehicle.car,vehicle.construction,vehicle.bicycle,vehicle.emergency.ambulance,human.pedestrian.adult,movable_object.trafficcone,movable_object.barrier,vehicle.motorcycle,human.pedestrian.personal_mobility,vehicle.bus.rigid,human.pedestrian.construction_worker,vehicle.trailer,human.pedestrian.police_officer,movable_object.pushable_pullable,human.pedestrian.stroller,vehicle.bus.bendy,animal,human.pedestrian.child,static_object.bicycle_rack,movable_object.debris,vehicle.emergency.police,human.pedestrian.wheelchair,vehicle.ego
bicycle,bicycle,0.0000,0.0000,0.0000,0.0421,0.0000,0.0004,0.0000,0.0000,0.0055,0.0061,0.0000,0.0003,0.0000,0.0004,0.0007,0.0121,0.0000,0.0051,0.0005,0.0097,0.0006,0.0001,0.0032,0.0000
bike,bicycle,0.0000,0.0001,0.0001,0.0368,0.0000,0.0004,0.0000,0.0000,0.0173,0.0051,0.0000,0.0003,0.0000,0.0005,0.0009,0.0148,0.0000,0.0042,0.0004,0.0091,0.0006,0.0003,0.0035,0.0000
pedal bicycle,bicycle,0.0000,0.0000,0.0001,0.0200,0.0000,0.0002,0.0000,0.0000,0.0029,0.0052,0.0000,0.0001,0.0000,0.0003,0.0007,0.0059,0.0000,0.0054,0.0003,0.0035,0.0005,0.0000,0.0005,0.0000
motorcycle,motorcycle,0.0001,0.0002,0.0003,0.0063,0.0001,0.0003,0.0000,0.0000,0.0310,0.0021,0.0000,0.0003,0.0001,0.0006,0.0010,0.0172,0.0000,0.0022,0.0002,0.0026,0.0002,0.0011,0.0055,0.0000
motorbike,motorcycle,0.0001,0.0001,0.0002,0.0082,0.0000,0.0003,0.0000,0.0000,0.0304,0.0024,0.0000,0.0004,0.0001,0.0006,0.0011,0.0208,0.0000,0.0029,0.0002,0.0032,0.0002,0.0010,0.0051,0.0000
two wheeler,motorcycle,0.0003,0.0004,0.0005,0.0081,0.0001,0.0002,0.0000,0.0000,0.0137,0.0018,0.0001,0.0002,0.0002,0.0002,0.0009,0.0069,0.0001,0.0007,0.0001,0.0083,0.0002,0.0004,0.0006,0.0000
car,car,0.0029,0.0233,0.0017,0.0002,0.0044,0.0001,0.0000,0.0001,0.0010,0.0002,0.0011,0.0001,0.0004,0.0000,0.0003,0.0004,0.0009,0.0001,0.0000,0.0003,0.0001,0.0144,0.0001,0.0000
sedan,car,0.0016,0.0170,0.0007,0.0000,0.0027,0.0000,0.0000,0.0000,0.0003,0.0001,0.0006,0.0000,0.0002,0.0000,0.0001,0.0001,0.0005,0.0000,0.0000,0.0000,0.0000,0.0110,0.0000,0.0000
passenger car,car,0.0029,0.0064,0.0017,0.0000,0.0056,0.0000,0.0000,0.0002,0.0001,0.0000,0.0042,0.0000,0.0008,0.0000,0.0002,0.0001,0.0036,0.0000,0.0000,0.0001,0.0001,0.0032,0.0000,0.0000
articulated bus,bus_bendy,0.0038,0.0005,0.0020,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0000,0.0014,0.0000,0.0000,0.0000,0.0175,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000
bendy bus,bus_bendy,0.0054,0.0008,0.0027,0.0000,0.0122,0.0000,0.0000,0.0000,0.0000,0.0001,0.0253,0.0000,0.0021,0.0000,0.0001,0.0000,0.0216,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000
accordion bus,bus_bendy,0.0081,0.0018,0.0040,0.0001,0.0076,0.0001,0.0000,0.0001,0.0003,0.0004,0.0104,0.0001,0.0033,0.0002,0.0007,0.0003,0.0083,0.0000,0.0000,0.0002,0.0001,0.0013,0.0000,0.0000
bus,bus_rigid,0.0054,0.0009,0.0018,0.0000,0.0129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0255,0.0000,0.0016,0.0000,0.0000,0.0000,0.0214,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000
city bus,bus_rigid,0.0040,0.0007,0.0016,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0000,0.0011,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000
passenger bus,bus_rigid,0.0039,0.0008,0.0016,0.0000,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0011,0.0000,0.0000,0.0000,0.0173,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000
truck,truck,0.0231,0.0040,0.0083,0.0000,0.0085,0.0000,0.0000,0.0002,0.0003,0.0004,0.0073,0.0000,0.0111,0.0000,0.0005,0.0002,0.0043,0.0000,0.0000,0.0001,0.0001,0.0039,0.0000,0.0000
lorry,truck,0.0157,0.0022,0.0059,0.0000,0.0061,0.0000,0.0000,0.0002,0.0002,0.0002,0.0061,0.0000,0.0076,0.0000,0.0005,0.0001,0.0035,0.0000,0.0000,0.0001,0.0001,0.0015,0.0000,0.0000
cargo truck,truck,0.0144,0.0014,0.0082,0.0000,0.0031,0.0000,0.0000,0.0004,0.0003,0.0003,0.0031,0.0000,0.0104,0.0000,0.0014,0.0002,0.0020,0.0000,0.0000,0.0001,0.0001,0.0011,0.0000,0.0000
ambulance,ambulance,0.0058,0.0018,0.0011,0.0000,0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,0.0006,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000
emergency ambulance,ambulance,0.0173,0.0049,0.0056,0.0000,0.0192,0.0000,0.0000,0.0002,0.0002,0.0001,0.0114,0.0000,0.0068,0.0000,0.0003,0.0001,0.0077,0.0000,0.0000,0.0001,0.0001,0.0048,0.0000,0.0000
medical van,ambulance,0.0134,0.0072,0.0032,0.0000,0.0260,0.0000,0.0000,0.0001,0.0001,0.0001,0.0100,0.0000,0.0025,0.0000,0.0001,0.0001,0.0054,0.0000,0.0000,0.0001,0.0001,0.0039,0.0000,0.0000
police car,police_car,0.0025,0.0138,0.0014,0.0002,0.0026,0.0000,0.0000,0.0001,0.0006,0.0001,0.0005,0.0000,0.0004,0.0000,0.0001,0.0002,0.0003,0.0001,0.0000,0.0003,0.0001,0.0136,0.0000,0.0000
patrol car,police_car,0.0034,0.0116,0.0019,0.0001,0.0040,0.0000,0.0000,0.0000,0.0008,0.0001,0.0009,0.0000,0.0005,0.0000,0.0003,0.0003,0.0006,0.0000,0.0000,0.0002,0.0001,0.0115,0.0000,0.0000
police vehicle,police_car,0.0086,0.0080,0.0050,0.0003,0.0085,0.0000,0.0000,0.0001,0.0023,0.0005,0.0023,0.0000,0.0016,0.0001,0.0005,0.0009,0.0017,0.0001,0.0000,0.0006,0.0001,0.0086,0.0000,0.0000
