gt_class,count,bicycle,motorcycle,car,bus_bendy,bus_rigid,truck,ambulance,police_car,construction_vehicle,trailer,adult_pedestrian,child_pedestrian,wheelchair_user,stroller,personal_mobility,police_officer,construction_worker,barrier,traffic_cone,pushable_object,debris,bicycle_rack,animal
animal,134,0.0148,0.0059,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0000,0.0023,0.0098,0.0113,0.0533,0.0192,0.0001,0.0004,0.0003,0.0003,0.0151,0.0140,0.0099,0.0531
human.pedestrian.adult,70123,0.0010,0.0008,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002,0.0000,0.0571,0.0315,0.0080,0.0014,0.0007,0.0125,0.0209,0.0001,0.0002,0.0006,0.0001,0.0004,0.0003
human.pedestrian.child,549,0.0013,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0390,0.0622,0.0082,0.0036,0.0012,0.0059,0.0093,0.0002,0.0003,0.0008,0.0001,0.0006,0.0008
human.pedestrian.construction_worker,8001,0.0007,0.0009,0.0001,0.0001,0.0000,0.0001,0.0001,0.0001,0.0005,0.0001,0.0356,0.0167,0.0067,0.0016,0.0008,0.0218,0.0628,0.0002,0.0001,0.0008,0.0002,0.0006,0.0004
human.pedestrian.personal_mobility,931,0.0164,0.0064,0.0003,0.0004,0.0001,0.0009,0.0002,0.0008,0.0038,0.0003,0.0143,0.0081,0.0057,0.0102,0.0123,0.0046,0.0076,0.0005,0.0002,0.0114,0.0005,0.0115,0.0004
human.pedestrian.police_officer,406,0.0012,0.0014,0.0001,0.0002,0.0000,0.0001,0.0000,0.0001,0.0008,0.0000,0.0634,0.0287,0.0100,0.0006,0.0014,0.0488,0.0700,0.0001,0.0001,0.0006,0.0001,0.0008,0.0001
human.pedestrian.stroller,264,0.0328,0.0450,0.0005,0.0003,0.0000,0.0005,0.0002,0.0014,0.0011,0.0014,0.0029,0.0119,0.0596,0.1730,0.0638,0.0009,0.0017,0.0004,0.0001,0.0573,0.0011,0.0100,0.0014
human.pedestrian.wheelchair,15,0.0072,0.0113,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0061,0.0271,0.0460,0.0054,0.0037,0.0092,0.0108,0.0001,0.0000,0.0010,0.0000,0.0003,0.0001
movable_object.barrier,73297,0.0000,0.0001,0.0003,0.0001,0.0001,0.0008,0.0003,0.0002,0.0001,0.0046,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0001,0.0091,0.0003,0.0014,0.0006,0.0010,0.0000
movable_object.debris,3075,0.0017,0.0006,0.0002,0.0001,0.0000,0.0002,0.0002,0.0002,0.0003,0.0007,0.0006,0.0006,0.0004,0.0008,0.0010,0.0001,0.0005,0.0055,0.0016,0.0081,0.0014,0.0107,0.0000
movable_object.pushable_pullable,3317,0.0024,0.0030,0.0005,0.0008,0.0001,0.0024,0.0004,0.0009,0.0049,0.0062,0.0004,0.0005,0.0017,0.0087,0.0055,0.0003,0.0011,0.0046,0.0003,0.0222,0.0026,0.0095,0.0002
movable_object.trafficcone,44944,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0.0008,0.0001,0.0001,0.0003,0.0001,0.0007,0.0035,0.0562,0.0030,0.0006,0.0007,0.0000
static_object.bicycle_rack,5932,0.0223,0.0141,0.0004,0.0002,0.0001,0.0002,0.0001,0.0010,0.0005,0.0004,0.0001,0.0002,0.0020,0.0035,0.0026,0.0001,0.0003,0.0039,0.0000,0.0022,0.0005,0.0153,0.0000
vehicle.bicycle,21977,0.0989,0.0225,0.0003,0.0001,0.0000,0.0001,0.0001,0.0006,0.0005,0.0001,0.0039,0.0038,0.0090,0.0139,0.0117,0.0023,0.0024,0.0007,0.0001,0.0052,0.0004,0.0240,0.0002
vehicle.bus.bendy,450,0.0000,0.0001,0.0050,0.0473,0.0565,0.0098,0.0150,0.0027,0.0039,0.0106,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0006,0.0000,0.0018,0.0000,0.0002,0.0000
vehicle.bus.rigid,17381,0.0000,0.0001,0.0059,0.0539,0.0669,0.0166,0.0239,0.0038,0.0041,0.0144,0.0001,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0003,0.0000,0.0014,0.0000,0.0001,0.0000
vehicle.car,275770,0.0002,0.0007,0.0467,0.0030,0.0024,0.0075,0.0139,0.0334,0.0015,0.0019,0.0001,0.0001,0.0002,0.0003,0.0008,0.0002,0.0000,0.0002,0.0000,0.0005,0.0001,0.0002,0.0000
vehicle.construction,10708,0.0002,0.0011,0.0041,0.0087,0.0051,0.0223,0.0100,0.0082,0.0279,0.0139,0.0002,0.0001,0.0004,0.0008,0.0013,0.0004,0.0013,0.0007,0.0000,0.0057,0.0005,0.0009,0.0001
vehicle.ego,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
vehicle.emergency.ambulance,58,0.0001,0.0002,0.0127,0.0248,0.0311,0.0178,0.0568,0.0152,0.0009,0.0043,0.0001,0.0000,0.0001,0.0000,0.0002,0.0001,0.0000,0.0003,0.0000,0.0006,0.0000,0.0001,0.0000
