victim_gt,bicycle__bicycle,bike__bicycle,pedal bicycle__bicycle,motorcycle__motorcycle,motorbike__motorcycle,two wheeler__motorcycle,car__car,sedan__car,passenger car__car,articulated bus__bus_bendy,bendy bus__bus_bendy,accordion bus__bus_bendy,bus__bus_rigid,city bus__bus_rigid,passenger bus__bus_rigid,truck__truck,lorry__truck,cargo truck__truck,ambulance__ambulance,emergency ambulance__ambulance,medical van__ambulance,police car__police_car,patrol car__police_car,police vehicle__police_car,construction vehicle__construction_vehicle,bulldozer__construction_vehicle,excavator__construction_vehicle,trailer__trailer,semi trailer__trailer,cargo trailer__trailer,adult pedestrian__adult_pedestrian,walking person__adult_pedestrian,adult__adult_pedestrian,child__child_pedestrian,kid walking__child_pedestrian,young pedestrian__child_pedestrian,wheelchair user__wheelchair_user,person in wheelchair__wheelchair_user,wheelchair__wheelchair_user,baby stroller__stroller,pushchair__stroller,pram__stroller,electric scooter__personal_mobility,personal mobility device__personal_mobility,hoverboard__personal_mobility,police officer__police_officer,uniformed officer__police_officer,law enforcement officer__police_officer,construction worker__construction_worker,hard hat worker__construction_worker,site worker__construction_worker,road barrier__barrier,concrete barrier__barrier,traffic barrier__barrier,traffic cone__traffic_cone,orange cone__traffic_cone,road cone__traffic_cone,pushable object__pushable_object,wheeled cart__pushable_object,trolley__pushable_object,road debris__debris,fallen object__debris,rubble on road__debris,bicycle rack__bicycle_rack,bike stand__bicycle_rack,cycle parking rack__bicycle_rack,animal__animal,dog__animal,cat__animal
vehicle.truck,11,1,1,25,3,687,2602,100,1927,48,123,602,115,144,562,0,0,0,3332,8046,4346,205,833,1096,276,10,142,6194,2247,500,34,3,666,2,3,59,8,30,220,5,5,5,1,33,36,190,2,25,333,862,505,1176,107,625,0,4,100,45,101,230,496,38,372,1269,307,246,1,0,0
vehicle.car,420,17,46,448,88,9483,0,0,0,13,81,393,60,55,853,541,54,12459,7414,12879,23309,20433,28145,7962,294,70,213,1868,360,240,212,2,6250,13,28,1443,186,412,3850,27,111,52,65,636,450,2295,6,211,391,480,375,4966,439,4206,13,115,5724,172,221,172,2026,300,2755,6937,4492,3388,3,8,4
vehicle.construction,7,1,0,6,2,76,258,5,181,19,44,36,7,12,102,90,11,3415,245,617,205,26,83,199,0,0,0,1017,619,103,21,1,60,0,1,10,8,12,83,3,1,2,2,11,40,17,4,6,29,287,95,241,22,143,0,0,14,154,91,63,161,19,16,344,237,82,3,0,0
vehicle.bicycle,0,0,0,59,71,954,132,0,13,0,1,0,0,0,1,2,0,3,4,5,3,6,6,13,1,0,16,18,2,2,119,182,402,13,135,201,348,407,1713,37,423,14,49,37,344,70,4,17,4,61,185,363,45,127,8,4,53,39,29,21,149,100,109,1950,6010,1769,5,6,0
vehicle.emergency.ambulance,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
human.pedestrian.adult,1638,195,37,117,53,101,502,45,109,0,19,142,3,8,28,2,0,41,427,63,126,5,15,16,9,0,34,104,6,1,0,0,0,271,1568,12577,1434,4962,2873,32,1337,1458,538,1696,330,415,234,386,274,445,2749,252,67,279,270,118,260,170,86,611,183,62,6,278,4093,180,8,94,10
movable_object.trafficcone,21,8,4,3,6,21,111,0,13,0,0,3,0,0,0,0,0,38,86,25,1,21,2,8,0,0,0,63,0,3,15,23,67,29,96,341,13,21,31,8,40,12,9,9,121,6,5,0,6,35,306,209,120,3102,0,0,0,2705,6,27,370,193,13,164,2959,97,0,2,0
movable_object.barrier,43,9,8,1,2,91,577,9,295,0,0,12,0,1,2,24,8,4867,694,1067,29,53,17,29,3,2,20,13682,176,730,69,10,363,4,31,102,28,55,595,14,36,36,4,9,145,18,2,4,7,180,270,0,0,0,372,60,651,2796,81,303,2047,967,370,4173,3248,792,5,4,1
vehicle.motorcycle,266,414,22,0,0,0,463,21,45,0,0,1,0,0,13,5,0,233,29,83,34,32,104,255,29,5,71,56,13,2,107,93,686,18,80,318,1028,1171,2701,172,747,158,2060,217,446,1339,49,575,19,587,517,180,37,103,28,8,156,34,152,69,78,41,188,610,1693,503,3,4,2
human.pedestrian.personal_mobility,63,9,11,7,3,27,12,0,2,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,1,0,7,2,1,0,24,25,22,1,10,13,9,30,23,1,25,1,0,0,0,1,0,0,0,8,25,9,0,13,0,4,6,16,20,14,14,4,1,107,297,13,0,0,0
vehicle.bus.rigid,2,0,0,0,1,59,429,8,1150,343,1054,363,0,0,0,98,8,749,632,1994,1484,22,25,32,92,0,33,1860,743,20,6,0,275,0,0,52,9,5,14,4,0,0,0,4,5,29,0,2,36,107,23,308,27,127,1,7,23,38,6,481,98,16,14,287,58,22,1,0,0
human.pedestrian.construction_worker,114,42,3,21,17,30,63,5,1,0,1,1,0,0,0,2,0,109,106,25,10,0,3,1,3,0,19,100,6,0,339,575,732,55,134,448,103,368,305,2,122,141,166,59,33,60,43,120,0,0,0,67,16,52,22,7,32,74,27,118,82,39,3,63,728,58,1,12,0
vehicle.trailer,0,0,0,1,0,26,29,2,34,7,2,32,2,12,30,83,3,1798,114,305,39,5,8,17,13,1,58,0,0,0,1,0,82,3,2,3,1,1,12,0,0,0,0,3,14,12,0,0,15,220,34,284,53,90,0,0,19,48,39,28,105,4,26,129,90,33,0,0,0
human.pedestrian.police_officer,7,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,1,1,0,32,78,27,0,3,33,11,8,7,0,1,1,12,5,2,0,0,0,13,14,24,0,0,3,1,1,7,0,0,5,2,1,0,4,55,0,0,0,0
movable_object.pushable_pullable,7,0,0,6,4,24,24,0,5,0,0,1,0,0,0,0,0,220,14,8,0,0,4,3,4,5,28,98,1,42,5,1,24,2,4,7,6,24,56,9,60,18,14,30,28,2,0,1,2,26,33,118,124,308,5,59,54,0,0,0,79,56,3,358,509,98,1,9,0
human.pedestrian.stroller,8,2,0,1,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,4,0,1,9,14,20,0,0,0,7,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,0,0,0,10,24,5,0,0,0
vehicle.bus.bendy,0,0,0,0,0,0,17,0,58,0,0,0,10,25,50,4,0,26,17,60,8,0,1,0,1,0,0,49,24,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,0,0,1,0,22,0,1,0,3,1,1,0,0,0
