gt_class,count,car,motorcycle,rider,person,autorickshaw,bicycle,traffic_sign,traffic_light,bus,truck,tanker,crane_truck,street_cart,excavator
autorickshaw,615,53,22,1,24,81,6,0,9,14,220,31,2,152,0
bicycle,6,1,0,0,1,0,3,0,0,0,0,1,0,0,0
bus,740,100,6,0,16,100,0,0,5,341,117,15,15,25,0
car,1146,452,86,17,54,68,1,2,12,90,315,20,6,20,3
crane_truck,138,0,0,0,1,0,0,0,1,0,21,9,100,2,4
excavator,275,10,3,0,1,1,0,0,1,2,170,28,42,6,11
motorcycle,985,61,526,22,70,9,33,0,5,0,90,105,1,44,19
person,459,25,29,28,295,2,23,0,4,3,1,16,2,22,9
rider,620,17,81,104,313,8,6,0,18,7,5,31,4,15,11
street_cart,206,0,4,1,0,8,1,0,0,0,49,9,0,133,1
tanker_vehicle,248,13,2,0,0,2,0,0,0,1,175,28,25,2,0
traffic light,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
traffic sign,27,0,0,0,5,0,9,4,2,0,0,5,2,0,0
truck,785,42,5,0,3,52,2,0,2,35,543,47,30,23,1
