prompt,parent_class,N_on,N_off,mean_on,mean_off,specificity,within_class_winner,global_wins_total,on_target_wins,off_target_wins,steal_rate,net_useful
car,car,470195,1359472,0.0379,0.0021,18.112,,224654,194140,30514,0.1358,163626
motorcycle,motorcycle,391209,1438458,0.0534,0.0017,31.415,0.3503,108778,95731,13047,0.1199,82684
passenger bus,bus,133670,1695997,0.0187,0.0012,16.045,0.8313,74564,56297,18267,0.2450,38030
motorbike,motorcycle,391209,1438458,0.0491,0.0014,36.317,0.1039,25300,21139,4161,0.1645,16978
traffic sign,traffic_sign,47539,1782128,0.0223,0.0001,304.265,0.3681,17177,14877,2300,0.1339,12577
road traffic sign,traffic_sign,47539,1782128,0.0091,0.0000,237.364,0.4063,15882,13454,2428,0.1529,11026
city bus,bus,133670,1695997,0.0198,0.0011,18.149,0.0803,9853,7424,2429,0.2465,4995
motorcyclist,rider,225778,1603889,0.0329,0.0016,20.422,0.4254,14645,8695,5950,0.4063,2745
bus,bus,133670,1695997,0.0248,0.0018,13.459,0.0884,13902,7990,5912,0.4253,2078
pedestrian,person,132819,1696848,0.0120,0.0006,19.865,0.1776,6758,4316,2442,0.3613,1874
rider,rider,225778,1603889,0.0183,0.0005,37.158,0.1680,10381,5806,4575,0.4407,1231
sign board,traffic_sign,47539,1782128,0.0137,0.0001,174.544,0.2256,13468,7195,6273,0.4658,922
tuk tuk,autorickshaw,165451,1664216,0.0072,0.0004,17.489,0.0145,986,702,284,0.2880,418
auto rickshaw,autorickshaw,165451,1664216,0.0185,0.0018,10.327,0.2882,7619,4015,3604,0.4730,411
human,person,132819,1696848,0.0226,0.0030,7.461,0.0255,986,535,451,0.4574,84
excavator,excavator,4254,1825413,0.0104,0.0004,28.733,0.0287,319,48,271,0.8495,-223
traffic light,traffic_light,5677,1823990,0.0649,0.0001,588.139,0.6396,6807,3241,3566,0.5239,-325
yellow excavator,excavator,4254,1825413,0.0075,0.0003,23.534,0.0515,479,10,469,0.9791,-459
truck,truck,175583,1654084,0.0286,0.0033,8.741,0.1327,26489,12906,13583,0.5128,-677
mobile crane,crane_truck,3569,1826098,0.0108,0.0001,94.000,0.1429,1559,344,1215,0.7793,-871
fuel tanker,tanker,9256,1820411,0.0077,0.0005,14.815,0.0104,1043,54,989,0.9482,-935
lorry,truck,175583,1654084,0.0204,0.0025,8.168,0.0117,3174,927,2247,0.7079,-1320
construction excavator,excavator,4254,1825413,0.0105,0.0004,27.936,0.2482,1761,37,1724,0.9790,-1687
food cart,street_cart,23512,1806155,0.0189,0.0017,10.928,0.0632,3024,611,2413,0.7979,-1802
traffic signal light,traffic_light,5677,1823990,0.0414,0.0000,849.204,0.0738,3255,397,2858,0.8780,-2461
lifting crane,crane_truck,3569,1826098,0.0075,0.0000,265.348,0.3222,6002,910,5092,0.8484,-4182
crane truck,crane_truck,3569,1826098,0.0119,0.0005,21.976,0.5349,6155,714,5441,0.8840,-4727
digging machine,excavator,4254,1825413,0.0099,0.0006,16.654,0.6716,7145,142,7003,0.9801,-6861
road signal lamp,traffic_light,5677,1823990,0.0134,0.0000,413.012,0.2866,10260,1268,8992,0.8764,-7724
two wheeler,motorcycle,391209,1438458,0.0110,0.0007,16.469,0.5458,318727,155371,163356,0.5125,-7985
tanker truck,tanker,9256,1820411,0.0153,0.0018,8.647,0.6826,9223,415,8808,0.9550,-8393
pedal bicycle,bicycle,7950,1821717,0.0160,0.0002,78.740,0.5325,13392,2155,11237,0.8391,-9082
bicycle,bicycle,7950,1821717,0.0393,0.0011,35.199,0.4675,15114,2172,12942,0.8563,-10770
street vendor cart,street_cart,23512,1806155,0.0220,0.0012,18.156,0.5769,28127,8159,19968,0.7099,-11809
water tanker,tanker,9256,1820411,0.0120,0.0009,13.699,0.3070,20572,815,19757,0.9604,-18942
driver,rider,225778,1603889,0.0184,0.0004,43.944,0.4067,118712,46923,71789,0.6047,-24866
hand cart,street_cart,23512,1806155,0.0233,0.0010,23.657,0.3599,43709,5867,37842,0.8658,-31975
three wheeler,autorickshaw,165451,1664216,0.0167,0.0035,4.748,0.6974,78581,17963,60618,0.7714,-42655
person,person,132819,1696848,0.0875,0.0117,7.473,0.7969,197162,74708,122454,0.6211,-47746
cargo truck,truck,175583,1654084,0.0208,0.0020,10.472,0.8556,363923,117714,246209,0.6765,-128495
