prompt,parent_class,bus,truck,car,person,traffic sign,rider,autorickshaw,motorcycle,street_cart,tanker_vehicle,crane_truck,bicycle,traffic light,excavator
car,car,0.0003,0.0010,0.0317,0.0009,0.0005,0.0007,0.0037,0.0015,0.0003,0.0003,0.0000,0.0000,0.0000,0.0002
hatchback,car,0.0000,0.0002,0.0107,0.0001,0.0001,0.0001,0.0017,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001
trunked rear silhouette,car,0.0009,0.0004,0.0005,0.0002,0.0009,0.0002,0.0002,0.0002,0.0001,0.0006,0.0005,0.0001,0.0001,0.0006
compact roof arc,car,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
motorcycle,motorcycle,0.0000,0.0001,0.0003,0.0017,0.0003,0.0034,0.0008,0.0435,0.0013,0.0002,0.0000,0.0014,0.0000,0.0003
underbone motorcycle,motorcycle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0001,0.0000,0.0000,0.0006,0.0000,0.0000
round headlamp housing,motorcycle,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
fuel tank saddle,motorcycle,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rider,rider,0.0000,0.0000,0.0002,0.0032,0.0000,0.0118,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
arms extended forward,rider,0.0000,0.0000,0.0000,0.0001,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mounted rider,rider,0.0000,0.0000,0.0001,0.0007,0.0000,0.0031,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
seated human silhouette,rider,0.0000,0.0000,0.0001,0.0018,0.0001,0.0015,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
person,person,0.0000,0.0000,0.0009,0.0804,0.0013,0.0614,0.0007,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
shoulders above torso,person,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
crossing pedestrian,person,0.0001,0.0000,0.0001,0.0020,0.0018,0.0009,0.0000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
free standing silhouette,person,0.0000,0.0000,0.0000,0.0001,0.0006,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
auto rickshaw,autorickshaw,0.0010,0.0018,0.0014,0.0004,0.0001,0.0007,0.0177,0.0014,0.0097,0.0030,0.0001,0.0000,0.0000,0.0014
rear bench compartment,autorickshaw,0.0000,0.0001,0.0001,0.0000,0.0000,0.0001,0.0003,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000
rounded front nose,autorickshaw,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0001,0.0000
arched roof canopy,autorickshaw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
bicycle,bicycle,0.0000,0.0000,0.0000,0.0004,0.0001,0.0002,0.0001,0.0038,0.0029,0.0000,0.0000,0.1405,0.0000,0.0000
slender front fork,bicycle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000
open triangle geometry,bicycle,0.0000,0.0000,0.0000,0.0000,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
narrow saddle seat,bicycle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
traffic sign,traffic_sign,0.0000,0.0001,0.0000,0.0000,0.0264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000
geometric metal face,traffic_sign,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stop sign,traffic_sign,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
numbered speed plate,traffic_sign,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
traffic light,traffic_light,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0642,0.0000
vertical lantern face,traffic_light,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hooded signal lenses,traffic_light,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
signal box face,traffic_light,0.0001,0.0001,0.0000,0.0000,0.0014,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0026,0.0000
bus,bus,0.0285,0.0051,0.0004,0.0000,0.0001,0.0000,0.0038,0.0000,0.0009,0.0070,0.0001,0.0000,0.0000,0.0001
row of windows,bus,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tall flat nose,bus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
high coach profile,bus,0.0006,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
truck,truck,0.0044,0.0247,0.0021,0.0000,0.0002,0.0001,0.0104,0.0001,0.0024,0.0260,0.0022,0.0000,0.0000,0.0105
dump truck,truck,0.0006,0.0158,0.0008,0.0000,0.0000,0.0001,0.0069,0.0001,0.0033,0.0225,0.0043,0.0000,0.0000,0.0160
tall rear tailgate,truck,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dual rear axle set,truck,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001
tanker,tanker,0.0005,0.0039,0.0001,0.0000,0.0000,0.0001,0.0009,0.0001,0.0007,0.0098,0.0028,0.0000,0.0000,0.0045
hazard label panel,tanker,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cylindrical tank body,tanker,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0006,0.0000,0.0000,0.0000,0.0000
rear valve assembly,tanker,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
crane truck,crane_truck,0.0002,0.0034,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0007,0.0059,0.0132,0.0000,0.0000,0.0112
