victim_gt,car__car,hatchback__car,trunked rear silhouette__car,compact roof arc__car,motorcycle__motorcycle,underbone motorcycle__motorcycle,round headlamp housing__motorcycle,fuel tank saddle__motorcycle,rider__rider,arms extended forward__rider,mounted rider__rider,seated human silhouette__rider,person__person,shoulders above torso__person,crossing pedestrian__person,free standing silhouette__person,auto rickshaw__autorickshaw,rear bench compartment__autorickshaw,rounded front nose__autorickshaw,arched roof canopy__autorickshaw,bicycle__bicycle,slender front fork__bicycle,open triangle geometry__bicycle,narrow saddle seat__bicycle,traffic sign__traffic_sign,geometric metal face__traffic_sign,stop sign__traffic_sign,numbered speed plate__traffic_sign,traffic light__traffic_light,vertical lantern face__traffic_light,hooded signal lenses__traffic_light,signal box face__traffic_light,bus__bus,row of windows__bus,tall flat nose__bus,high coach profile__bus,truck__truck,dump truck__truck,tall rear tailgate__truck,dual rear axle set__truck,tanker__tanker,hazard label panel__tanker,cylindrical tank body__tanker,rear valve assembly__tanker,crane truck__crane_truck,boom tip pulley__crane_truck,truck crane__crane_truck,outrigger support legs__crane_truck,street cart__street_cart,produce display tray__street_cart,spoked cart axle__street_cart,wooden side boards__street_cart,excavator__excavator,articulated rear arm__excavator,deep bucket teeth__excavator,large rear tire__excavator
bus,10,0,83,7,0,0,6,0,0,0,0,0,4,0,11,1,0,1,98,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,35,18,57,5,0,6,4,6,8,1,0,25,0,0,0,0,0,0,0
truck,6,0,35,1,0,2,0,3,0,0,0,0,2,1,0,0,6,32,9,5,0,0,2,0,0,0,0,0,0,1,1,0,13,3,0,19,0,0,0,0,10,0,23,14,23,2,5,0,22,0,0,1,1,0,0,0
car,0,0,0,0,5,0,33,48,4,13,0,0,6,27,21,0,4,24,40,0,0,0,1,0,0,0,0,2,0,0,12,0,1,0,0,89,11,86,18,200,1,0,4,15,4,2,0,0,16,0,0,4,0,1,0,2
person,5,0,20,0,21,4,1,3,3,25,0,0,0,0,0,0,1,1,0,0,15,2,4,2,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,4,0,12,0,0,0,2,20,0,0,2,0,9,0,0
traffic sign,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
rider,9,0,8,0,46,13,5,17,0,0,0,0,235,61,16,1,6,2,0,0,1,1,0,4,0,0,0,0,0,0,18,0,0,0,0,7,0,2,0,3,0,0,0,31,0,4,0,0,15,0,0,0,1,10,0,0
autorickshaw,33,0,20,0,1,0,0,21,1,0,0,0,20,1,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,9,0,9,0,0,5,16,127,3,74,1,2,3,25,2,0,0,0,151,0,1,0,0,0,0,0
motorcycle,29,0,32,0,0,0,0,0,8,10,3,1,56,10,3,1,3,6,0,0,24,4,2,3,0,0,0,0,0,0,5,0,0,0,0,0,0,8,1,81,0,3,0,102,0,1,0,0,43,0,1,0,0,6,0,13
street_cart,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,22,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
tanker_vehicle,0,0,11,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,115,0,48,0,0,0,0,13,12,0,0,2,0,0,0,0,0,0,0
crane_truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,3,2,0,0,7,0,0,0,0,2,0,0,0,4,0,0,0
bicycle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
traffic light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excavator,1,0,8,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,106,0,59,6,0,0,22,30,5,7,0,5,0,1,0,0,0,0,0
